,level_0,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
68,444,6954,6954,Много цветов,Магазин «Цветы»,Много цветов,да,реализация непродовольственных товаров,"город Москва, Таллинская улица, дом 26",район Строгино,Северо-Западный административный округ,37.40750219869477,55.79980594078322,1890753.9742305344,6413500.823409236
69,448,7046,7046,Росцветторг,Магазин «Цветы»,Росцветторг,да,реализация непродовольственных товаров,"город Москва, Шереметьевская улица, дом 27",район Марьина Роща,Северо-Восточный административный округ,37.61483249694471,55.80301314585778,1903225.4770585382,6418162.684797651
70,452,7066,7066,ЦВЕТЫ МИРА,Магазин «Цветы»,Цветы мира,да,реализация непродовольственных товаров,"город Москва, Енисейская улица, дом 5",Бабушкинский район,Северо-Восточный административный округ,37.65958440518536,55.85890465279376,1903861.3681838776,6425122.082944362
71,454,7092,7092,Мосцветторг,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, Сокольническая площадь, дом 4, корпус 1-2",район Сокольники,Восточный административный округ,37.676725629535476,55.78994487959962,1907468.8074591719,6418050.968850425
72,458,7144,7144,Цветы мира,Магазин «Цветы»,Цветы мира,да,реализация непродовольственных товаров,"город Москва, Люблинская улица, дом 171",район Марьино,Юго-Восточный административный округ,37.74671028892313,55.6472306102658,1917045.0983044824,6404144.178703749
73,462,7247,7247,Цветочный ряд,Магазин «Цветы»,Цветочный ряд,да,реализация непродовольственных товаров,"город Москва, Братиславская улица, дом 14",район Марьино,Юго-Восточный административный округ,37.7559075674351,55.65896009060589,1917167.800109901,6405602.2676447835
74,467,7389,7389,Росцветторг,Магазин «Цветы»,Росцветторг,да,реализация непродовольственных товаров,"город Москва, Ломоносовский проспект, дом 23",Гагаринский район,Юго-Западный административный округ,37.536037420142506,55.691417123140624,1902568.9444309368,6404485.880382618
75,476,7571,7571,Цветы мира,Магазин «Цветы»,Цветы мира,да,реализация непродовольственных товаров,"город Москва, Южнобутовская улица, дом 61",район Южное Бутово,Юго-Западный административный округ,37.5301,55.536112,1907941.953403789,6387612.252811621
76,480,7636,7636,Магазин «Цветы Мира»,Магазин «Цветы»,Цветы мира,да,реализация непродовольственных товаров,"город Москва, улица Барклая, дом 7, корпус 1",район Филёвский Парк,Западный административный округ,37.50069797118997,55.740731051766424,1898596.1563117641,6409066.3721569525
77,486,7723,7723,РОСЦВЕТТОРГ,Магазин «Цветы»,Росцветторг,да,реализация непродовольственных товаров,"город Москва, улица Героев Панфиловцев, дом 1",район Северное Тушино,Северо-Западный административный округ,37.43786490818604,55.853289335498715,1890627.864943976,6419897.320884981
78,489,7806,7806,Росцветторг,Магазин «Цветы»,Росцветторг,да,реализация непродовольственных товаров,"город Москва, Петрозаводская улица, дом 12, корпус 1",район Ховрино,Северный административный округ,37.50212408966039,55.864273283265284,1894118.779746261,6422415.4068300435
79,508,8133,8133,Цветы мира,Магазин «Цветы»,Цветы мира,да,реализация непродовольственных товаров,"город Москва, улица Яблочкова, дом 16",Бутырский район,Северо-Восточный административный округ,37.5814447094422,55.81996218331894,1900570.1521090856,6419291.673415463
80,522,8321,8321,Цветы Мира,Магазин «Цветы»,Цветы мира,да,реализация непродовольственных товаров,"город Москва, улица Лескова, дом 26А",район Бибирево,Северо-Восточный административный округ,37.613055279504316,55.89449498937614,1899719.0761657408,6427983.827371263
81,529,8556,8556,Цветы мира,Магазин «Цветы»,Цветы мира,да,реализация непродовольственных товаров,"город Москва, Наличная улица, дом 3",район Лефортово,Юго-Восточный административный округ,37.70416485419983,55.76473003715323,1910074.6507994856,6415910.138124406
82,541,8759,8759,Цветы Мира,Магазин «Цветы»,Цветы мира,да,реализация непродовольственных товаров,"город Москва, улица Удальцова, дом 65",район Проспект Вернадского,Западный административный округ,37.50024677142739,55.67908748023506,1900843.8543087228,6402409.585064561
83,549,8826,8826,Цветы мира,Магазин «Цветы»,Цветы мира,да,реализация непродовольственных товаров,"город Москва, улица Соловьиная Роща, дом 12/4",район Куркино,Северо-Западный административный округ,37.39909312410468,55.89445237330153,1886761.706095266,6423532.894156106
84,551,8868,8868,Цветы мира,Магазин «Цветы»,Цветы мира,да,реализация непродовольственных товаров,"город Москва, Пятницкое шоссе, дом 15, корпус 1",район Митино,Северо-Западный административный округ,37.38122123582446,55.842299970902936,1887596.0202581168,6417539.56072525
85,565,9102,9102,Цветы мира,Магазин «Цветы»,Цветы мира,да,реализация непродовольственных товаров,"город Москва, улица Новинки, дом 1",район Нагатинский Затон,Южный административный округ,37.666628892655,55.6774032936637,1911042.4163650416,6405710.174561477
86,567,9131,9131,Много Цветов,Магазин «Цветы»,Много цветов,да,реализация непродовольственных товаров,"город Москва, Производственная улица, дом 2",район Солнцево,Западный административный округ,37.38815798307465,55.65015144195189,1895074.4552240262,6396957.032686285
87,574,9220,9220,Много цветов,Магазин «Цветы»,Много цветов,да,реализация непродовольственных товаров,"город Москва, Нижегородская улица, дом 25",Таганский район,Центральный административный округ,37.693982928796956,55.73732403202305,1910477.056267056,6412742.9416791275
88,575,9221,9221,Цветы Мосцветторг,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, Большая Серпуховская улица, дом 30, строение 3",район Замоскворечье,Центральный административный округ,37.62482411476672,55.72528324982546,1906718.8633554461,6409993.995500582
89,606,9956,9956,Просто цветы,Магазин «Цветы»,Просто цветы,да,реализация непродовольственных товаров,"город Москва, улица Литвина-Седого, дом 13, строение 2",Пресненский район,Центральный административный округ,37.537492,55.761899,1900051.2916749418,6412115.544588123
90,607,9960,9960,Во имя розы,Магазин «Цветы»,Во имя розы,да,реализация непродовольственных товаров,"город Москва, Большая Никитская улица, дом 14/2, строение 7",Пресненский район,Центральный административный округ,37.60534624717723,55.75678227742514,1904365.3652070954,6412981.4225174
91,626,10370,10370,МОСЦВЕТТОРГ,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, улица Академика Бочвара, дом 2, корпус 2",район Щукино,Северо-Западный административный округ,37.461221225480315,55.80783042050035,1893721.0728463358,6415480.4219081625
92,629,10403,10403,Магазин «Во имя розы»,Магазин «Цветы»,Во имя розы,да,реализация непродовольственных товаров,"город Москва, Никольская улица, дом 11-13, строение 1",Тверской район,Центральный административный округ,37.621722999999996,55.756809,1905359.7719201928,6413327.087398081
93,630,10408,10408,Просто цветы,Магазин «Цветы»,Просто цветы,да,реализация непродовольственных товаров,"город Москва, Сущёвская улица, дом 19, строение 4",Тверской район,Центральный административный округ,37.60054726815163,55.78183035891554,1903144.376292421,6415580.879591108
94,633,10538,10538,Много цветов,Магазин «Цветы»,Много цветов,да,реализация непродовольственных товаров,"город Москва, Смольная улица, дом 35, строение 1",район Левобережный,Северный административный округ,37.481235,55.860822,1892979.9175892216,6421609.3236018475
95,637,10635,10635,Цветы Мосцветторг,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, Климентовский переулок, дом 12, строение 6",район Замоскворечье,Центральный административный округ,37.6272104491229,55.741520029521034,1906261.107180052,6411794.112647334
96,655,11396,11396,Мосцветторг,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, улица Константина Федина, дом 11",район Северное Измайлово,Восточный административный округ,37.801084033482496,55.80685953677752,1914383.9010747315,6422489.439484132
97,659,11498,11498,Просто Цветы,Магазин «Цветы»,Просто цветы,да,реализация непродовольственных товаров,"город Москва, Тверская улица, дом 18, корпус 1",Тверской район,Центральный административный округ,37.60486884764896,55.766023111665746,1903993.4673124116,6413967.48019888
98,660,11513,11513,Просто Цветы,Магазин «Цветы»,Просто цветы,да,реализация непродовольственных товаров,"город Москва, Пушкинская площадь, дом 2",Тверской район,Центральный административный округ,37.60751955643419,55.76623143849474,1904146.8112656688,6414045.390161738
99,664,11554,11554,Много цветов,Магазин «Цветы»,Много цветов,да,реализация непродовольственных товаров,"город Москва, Солнцевский проспект, дом 1",район Солнцево,Западный административный округ,37.39659662913025,55.651836296927115,1895527.4053013902,6397313.938344285
100,666,11567,11567,Просто цветы,Магазин «Цветы»,Просто цветы,да,реализация непродовольственных товаров,"город Москва, Пятницкий переулок, дом 8, строение 1",район Замоскворечье,Центральный административный округ,37.62977504137866,55.74287230223834,1906366.8214297232,6411993.596080578
101,669,11628,11628,Цветы мира,Магазин «Цветы»,Цветы мира,да,реализация непродовольственных товаров,"город Москва, улица Покрышкина, дом 5",район Тропарёво-Никулино,Западный административный округ,37.46920502370469,55.66439212008852,1899493.619364572,6400177.902946322
102,676,11717,11717,Мосцветторг,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, улица 10-летия Октября, дом 11",район Хамовники,Центральный административный округ,37.5636285923932,55.72526401455443,1902996.518265801,6408711.512205368
103,684,11985,11985,Цветы мира,Магазин «Цветы»,Цветы мира,да,реализация непродовольственных товаров,"город Москва, Вешняковская улица, дом 29",район Вешняки,Восточный административный округ,37.82793857223619,55.72405993080729,1919116.7724889629,6414137.91868259
104,723,12725,12725,Ирис,Магазин «Цветы»,Ирис,да,реализация непродовольственных товаров,"город Москва, улица Новый Арбат, дом 7, строение 1",район Арбат,Центральный административный округ,37.59757016777041,55.752531393076204,1904050.3731410275,6412360.540544737
105,724,12738,12738,МОСЦВЕТТОРГ,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, Кутузовский проспект, дом 36А",район Дорогомилово,Западный административный округ,37.52606227390316,55.73869471090486,1900214.2786888904,6409375.409843292
106,743,13205,13205,Мосцветторг,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, Кронштадтский бульвар, дом 7",Головинский район,Северный административный округ,37.486895392933064,55.84113297585368,1894050.309244217,6419604.322852872
107,748,13485,13485,Милабель,Магазин «Цветы»,Милабель,да,реализация непродовольственных товаров,"город Москва, Ходынский бульвар, дом 4",Хорошёвский район,Северный административный округ,37.52774800000001,55.790177767350436,1898413.2725086256,6414961.099945517
108,754,14066,14066,Росцветторг,Магазин «Цветы»,Росцветторг,да,реализация непродовольственных товаров,"город Москва, Алтуфьевское шоссе, дом 90",район Бибирево,Северо-Восточный административный округ,37.588329499351104,55.9001518725442,1898011.9622355946,6428077.333822516
109,759,14425,14425,Росцветторг,Магазин «Цветы»,Росцветторг,да,реализация непродовольственных товаров,"город Москва, проезд Дежнёва, владение 23Б",район Южное Медведково,Северо-Восточный административный округ,37.6375093685216,55.870430441922,1902094.8962196647,6425901.957388365
110,760,14433,14433,Росцветторг,Магазин «Цветы»,Росцветторг,да,реализация непродовольственных товаров,"город Москва, улица Пришвина, владение 23А",район Бибирево,Северо-Восточный административный округ,37.60550399850914,55.88477752944,1899622.8858129962,6426779.053766198
111,771,15244,15244,Просто цветы,Магазин «Цветы»,Просто цветы,да,реализация непродовольственных товаров,"город Москва, Широкая улица, дом 14, корпус 1",район Северное Медведково,Северо-Восточный административный округ,37.661290540561005,55.88715452252951,1902912.7119178616,6428201.44772081
112,773,15360,15360,Мосцветторг,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, Снежная улица, дом 26",район Свиблово,Северо-Восточный административный округ,37.65326722159299,55.85511922883936,1903619.4551574024,6424581.949656633
113,783,15720,15720,Мосцветторг,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, Семёновская площадь, дом 7, корпус 17",район Соколиная Гора,Восточный административный округ,37.721292,55.783605,1910410.906352848,6418303.8936315775
114,794,15987,15987,Цветочный ряд,Магазин «Цветы»,Цветочный ряд,да,реализация непродовольственных товаров,"город Москва, Свободный проспект, дом 33А, строение 4",район Новогиреево,Восточный административный округ,37.81850610384432,55.75217708822773,1917489.9899991285,6416967.266649785
115,796,16226,16226,Магазин «Просто цветы»,Магазин «Цветы»,Просто цветы,да,реализация непродовольственных товаров,"город Москва, Таганская улица, дом 2",Таганский район,Центральный административный округ,37.657657506383096,55.74078035596686,1908139.8484924112,6412352.6930584125
116,801,16687,16687,Просто Цветы,Магазин «Цветы»,Просто цветы,да,реализация непродовольственных товаров,"город Москва, Люблинская улица, дом 4, корпус 2",район Текстильщики,Юго-Восточный административный округ,37.729908058587945,55.70780612679138,1913762.3047262381,6410317.845798022
117,808,17108,17108,Мосцветторг,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, Братиславская улица, дом 16, корпус 2",район Марьино,Юго-Восточный административный округ,37.75740123044918,55.658498167732446,1917276.0385460984,6405584.010021664
