,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
32,10221,10221,Азбука Вкуса,Универсам,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, Нахимовский проспект, дом 61",район Черёмушки,Юго-Западный административный округ,37.56000484420819,55.678954159908294,1904489.835772576,6403642.78168255
33,10559,10559,Азбука Вкуса,Супермаркет,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, улица Алабяна, дом 7",район Сокол,Северный административный округ,37.50810885681615,55.80185416550477,1896788.8786257908,6415810.9107915005
34,11418,11418,Азбука Вкуса,Универсам,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, Мичуринский проспект, дом 22, корпус 1",район Раменки,Западный административный округ,37.503578000000005,55.701092,1900234.7279060062,6404852.00285753
35,12478,12478,Супермаркет «Азбука вкуса»,Супермаркет,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, Таганская площадь, дом 12, строение 5",Таганский район,Центральный административный округ,37.65427945009378,55.74018035922269,1907956.770295419,6412217.164601015
36,14072,14072,Азбука Вкуса,Супермаркет,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, улица Строителей, дом 17, корпус 1",Ломоносовский район,Юго-Западный административный округ,37.53195843720992,55.68809942580523,1902443.107375936,6404042.976684311
37,16712,16712,Азбука Вкуса,Универсам,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, Жулебинский бульвар, дом 16",район Выхино-Жулебино,Юго-Восточный административный округ,37.853062,55.696697,1921670.522425655,6411722.14125705
38,19082,19082,АЗБУКА ВКУСА,Супермаркет,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, Профсоюзная улица, дом 64",Обручевский район,Юго-Западный административный округ,37.547376280769,55.66642785293864,1904183.598300948,6402028.142526115
39,19264,19264,Азбука Вкуса,Супермаркет,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, проспект Вернадского, дом 14А",район Проспект Вернадского,Западный административный округ,37.507152399546584,55.6778405040445,1901310.672006753,6402419.102344294
40,19507,19507,Азбука Вкуса,Супермаркет,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, улица Покрышкина, дом 4",район Тропарёво-Никулино,Западный административный округ,37.4813757579492,55.66512875201921,1900208.4597414918,6400510.856520932
41,19520,19520,АЗБУКА ВКУСА,Супермаркет,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, Мичуринский проспект, дом 58, корпус 1",район Раменки,Западный административный округ,37.48694010941081,55.693234690431154,1899511.283202661,6403657.975113295
42,21282,21282,Азбука Вкуса,Супермаркет,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, проезд Аэропорта, дом 8",Хорошёвский район,Северный административный округ,37.52218664316051,55.797395672885806,1897808.586925684,6415623.3748359615
43,21887,21887,Азбука Вкуса,Супермаркет,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, улица Гризодубовой, дом 1А",Хорошёвский район,Северный административный округ,37.53444979172399,55.7818529106126,1899128.3027276827,6414203.305867792
