,NameOfStation,Name,Latitude_WGS84,Longitude_WGS84,Xs,Ys
511,Площадь Ильича,"Площадь Ильича, вход-выход 2 в вестибюль",55.7464401,37.6790124,1909227.4985611269,6413410.8525010785
512,Площадь Ильича,"Площадь Ильича, вход-выход 3 в вестибюль",55.746918,37.680107,1909276.2437683705,6413485.338456185
513,Площадь Ильича,"Площадь Ильича, вход-выход 4 в вестибюль",55.7464581,37.6812921,1909365.4024853995,6413460.6634453265
514,Шоссе Энтузиастов,"Шоссе Энтузиастов, вход-выход 2 в вестибюль",55.758464,37.7513205,1913173.2213118842,6416227.135733498
515,Шоссе Энтузиастов,"Шоссе Энтузиастов, вход-выход 3 в вестибюль",55.758443,37.751679,1913195.7852785361,6416232.4245168185
516,Перово,"Перово, вход-выход 2 в западный вестибюль",55.7512317,37.7847758,1915476.144374003,6416153.237814278
517,Домодедовская,"Домодедовская, вход-выход 1 из южного вестибюля",55.610832,37.720523,1916805.1569144698,6399668.921618134
518,Шаболовская,"Шаболовская, вход в вестибюль",55.718765,37.6081344,1905945.3582092589,6408941.790531688
519,Шипиловская,"Шипиловская, вход-выход 1 в северный вестибюль",55.6221781,37.7439051,1917808.5388178136,6401385.025682331
520,Шипиловская,"Шипиловская, вход-выход 1 в южный вестибюль",55.62029,37.7442272,1917898.5959626099,6401188.330977688
521,Шипиловская,"Шипиловская, вход-выход 2 в северный вестибюль",55.6221086,37.7425049,1917725.7375053933,6401347.988161343
522,Щёлковская,"Щёлковская, вход-выход 4 в северный вестибюль",55.810383,37.798293,1914082.6363160089,6422810.076577468
523,Щёлковская,"Щёлковская, вход-выход 3 в северный вестибюль",55.810051,37.798307,1914095.919801939,6422774.612538378
524,Щёлковская,"Щёлковская, вход-выход 1 в южный вестибюль",55.808367,37.798438,1914166.935838669,6422595.993533197
525,Щёлковская,"Щёлковская, вход-выход 1 в северный вестибюль",55.81041,37.798843,1914114.9847048607,6422824.584789436
526,Щёлковская,"Щёлковская, вход-выход 2 в северный вестибюль",55.810063,37.798851,1914128.4663832039,6422787.378645059
527,Щёлковская,"Щёлковская, вход-выход 2 в южный вестибюль",55.808374,37.798854,1914191.9071145297,6422605.521696915
528,Щукинская,"Щукинская, вход-выход 1 во 2-й вестибюль",55.8089913,37.4629558,1893783.5891920319,6415641.616081816
529,Щукинская,"Щукинская, вход-выход 2 во 2-й вестибюль",55.8093474,37.4632352,1893787.4216805669,6415685.814778801
530,Щукинская,"Щукинская, вход-выход 2 в 1-й вестибюль",55.8077329,37.4654909,1893983.9359280788,6415558.585178996
531,Щукинская,"Щукинская, вход-выход 1 в 1-й вестибюль",55.807997,37.465866,1893996.9718930614,6415594.852623815
532,Электрозаводская,"Электрозаводская, вход в вестибюль",55.782136,37.705514,1909507.69750576,6417813.986670023
533,Юго-Западная,"Юго-Западная, вход-выход 3 в южный вестибюль",55.6627839,37.4820889,1900338.368145652,6400272.814234928
534,Юго-Западная,"Юго-Западная, вход-выход 4 в южный вестибюль",55.6629904,37.4821613,1900335.170425323,6400296.594586772
535,Юго-Западная,"Юго-Западная, вход-выход 1 в южный вестибюль",55.6625384,37.4831377,1900411.359652126,6400268.18970366
536,Юго-Западная,"Юго-Западная, вход-выход 2 в северный вестибюль",55.6645394,37.4842914,1900407.931344987,6400508.044005574
537,Юго-Западная,"Юго-Западная, вход-выход 1 в северный вестибюль",55.6643713,37.4841919,1900408.06243275,6400487.840614559
538,Юго-Западная,"Юго-Западная, вход-выход 2 в южный вестибюль",55.6627638,37.4832504,1900409.9218511104,6400294.848248254
539,Юго-Западная,"Юго-Западная, вход-выход 3 в северный вестибюль",55.6646016,37.4831888,1900338.42016178,6400491.777390089
540,Юго-Западная,"Юго-Западная, вход-выход 4 в северный вестибюль",55.6647681,37.4833208,1900340.3296113766,6400512.48535138
541,Южная,"Южная, вход-выход 1 в южный вестибюль",55.6213608,37.6077169,1909531.4560089963,6398431.926190942
542,Южная,"Южная, вход-выход 1 в северный вестибюль",55.6235439,37.6090425,1909531.4235258112,6398695.11163514
543,Южная,"Южная, вход-выход 3 в южный вестибюль",55.6209851,37.6090099,1909624.2707774586,6398418.534342182
544,Южная,"Южная, вход-выход 3 в северный вестибюль",55.623323,37.6098201,1909587.0521154052,6398687.602047986
545,Сретенский бульвар,"Сретенский бульвар, вход-выход 1 в вестибюль",55.7662971,37.6364478,1905902.151226609,6414658.111421948
546,Цветной бульвар,"Цветной бульвар, выход из вестибюля",55.7715912,37.6207183,1904749.799683792,6414899.296497546
547,Савёловская,"Савёловская, вход-выход 3 в вестибюль",55.7940228,37.5897883,1902038.6564509468,6416670.136794533
548,Савёловская,"Савёловская, вход-выход 4 в вестибюль",55.7939837,37.5899754,1902051.467816984,6416669.832020395
549,Савёловская,"Савёловская, вход-выход 5 в вестибюль",55.7938965,37.5902811,1902073.2649514882,6416666.821140215
550,Савёловская,"Савёловская, вход-выход 6 в вестибюль",55.7936152,37.5900074,1902067.0789347503,6416630.782164103
551,Тимирязевская,"Тимирязевская, вход-выход 2 в вестибюль",55.8190858,37.5749218,1900206.832861951,6419061.044307589
552,Тимирязевская,"Тимирязевская, вход-выход 3 в вестибюль",55.8189829,37.5743134,1900173.728604629,6419037.254572128
553,Шипиловская,"Шипиловская, вход-выход 2 в южный вестибюль",55.6201443,37.7432401,1917843.8266408548,6401151.796971434
554,Ясенево,"Ясенево, вход-выход 3 в южный вестибюль",55.6055443,37.5348837,1905671.2873540865,6395201.288880752
555,Ясенево,"Ясенево, вход-выход 1 в южный вестибюль",55.6061274,37.5351978,1905668.9301177703,6395270.743191241
556,Ясенево,"Ясенево, вход-выход 1 в северный вестибюль",55.6066073,37.5329575,1905514.4303155805,6395275.666677721
557,Ясенево,"Ясенево, вход-выход 3 в северный вестибюль",55.6065836,37.5314215,1905421.5278039912,6395241.003043117
558,Ясенево,"Ясенево, вход-выход 2 в северный вестибюль",55.6068801,37.5316246,1905422.9794227255,6395277.2263273625
559,Ясенево,"Ясенево, вход-выход 4 в северный вестибюль",55.606294,37.5312065,1905419.0946220916,6395205.275172625
560,Ясенево,"Ясенево, вход-выход 4 в южный вестибюль",55.6056622,37.5343397,1905633.7197319136,6395202.631596156
561,Ясенево,"Ясенево, вход-выход 2 в южный вестибюль",55.6062454,37.5346237,1905629.5215845187,6395271.46733716
562,Цветной бульвар,"Цветной бульвар, вход в вестибюль",55.77174,37.620712,1904743.8911549207,6414915.2022081055
563,Аэропорт,"Аэропорт, выход из южного вестибюля",55.8000529,37.5341845,1898438.88459164,6416159.807243548
564,Домодедовская,"Домодедовская, вход-выход 4 в северный вестибюль",55.6099419,37.7172912,1916641.134078396,6399504.845498574
565,Домодедовская,"Домодедовская, вход-выход 6 в северный вестибюль",55.610644,37.716669,1916577.0244136315,6399567.407103775
566,Домодедовская,"Домодедовская, вход-выход 8 в северный вестибюль",55.6112163,37.7180771,1916641.6186413313,6399658.778031022
567,Бульвар Дмитрия Донского,"Бульвар Дмитрия Донского, вход-выход 4 в южный вестибюль",55.5686707,37.5752373,1909498.9511167817,6392069.206143
568,Бульвар Дмитрия Донского,"Бульвар Дмитрия Донского, вход-выход 3 в южный вестибюль",55.5685216,37.5759726,1909549.3998540952,6392068.536700549
569,Улица Скобелевская,"Улица Скобелевская, вход-выход в северный вестибюль",55.5484399,37.5562869,1909088.3946950322,6389490.22332245
570,Выхино,"Выхино, вход-выход 2 в вестибюль",55.7154339,37.8186793,1918876.9320832207,6413012.894362794
571,Жулебино,"Жулебино, вход-выход 1 во 2-й вестибюль",55.6864963,37.856904,1922286.8972664755,6410704.71970508
572,Каширская,"Каширская, выход 1 из южного вестибюля",55.654154,37.6477302,1910754.9047712379,6402807.086858977
573,Каширская,"Каширская, выход 2 из южного вестибюля",55.6543598,37.6473058,1910721.3942778402,6402820.360313177
574,Каширская,"Каширская, выход 1 из северного вестибюля",55.6557509,37.6500394,1910836.3340504381,6403027.724905688
575,Каширская,"Каширская, выход 2 из северного вестибюля",55.6559507,37.6496074,1910802.5836442183,6403040.191001773
576,Кантемировская,"Кантемировская, вход-выход 1 в северный вестибюль",55.6365141,37.6555602,1911887.4669163795,6401069.959013228
577,Кантемировская,"Кантемировская, вход-выход 3 в южный вестибюль",55.6348855,37.6578451,1912087.300395891,6400942.407291987
578,Автозаводская,"Автозаводская, выход из южного вестибюля",55.7063464,37.65718,1909391.1014110872,6408631.406208508
579,Орехово,"Орехово, выход из южного вестибюля",55.612338,37.69575,1915237.6627029846,6399309.244830196
580,Домодедовская,"Домодедовская, вход-выход 1 в северный вестибюль",55.6100889,37.7182568,1916694.5723340064,6399541.046679815
581,Сретенский бульвар,"Сретенский бульвар, вход-выход 2 в вестибюль",55.7663191,37.6366915,1905916.141028785,6414665.588026908
582,Сретенский бульвар,"Сретенский бульвар, вход-выход 5 в вестибюль",55.7653338,37.6369278,1905967.1136872526,6414564.3474342795
583,Сретенский бульвар,"Сретенский бульвар, вход-выход 6 в вестибюль",55.765481,37.636606,1905942.0903966094,6414573.470096413
584,Трубная,"Трубная, вход-выход 2 в вестибюль",55.7678481,37.62208,1904971.537353694,6414524.372396513
585,Достоевская,"Достоевская, вход-выход 1 в вестибюль",55.7816457,37.6141122,1903975.160990503,6415844.710509623
586,Достоевская,"Достоевская, вход-выход 2 в вестибюль",55.7812483,37.6139377,1903979.3165509365,6415798.227914012
587,Достоевская,"Достоевская, вход-выход 3 в вестибюль",55.781203,37.6135538,1903957.6805451128,6415785.3131423835
588,Марьина роща,"Марьина роща, вход-выход 2 в южный вестибюль",55.793738,37.6159976,1903640.651640925,6417187.433086542
589,Бульвар Дмитрия Донского,"Бульвар Дмитрия Донского, вход-выход 1 в южный вестибюль",55.5679508,37.5766378,1909611.1630128073,6392020.91990342
590,Бульвар Дмитрия Донского,"Бульвар Дмитрия Донского, вход-выход 2 в южный вестибюль",55.5682907,37.5768837,1909613.6176641257,6392062.730685935
591,Бульвар Дмитрия Донского,"Бульвар Дмитрия Донского, вход-выход 1 в северный вестибюль",55.5699197,37.5779622,1909619.2665856942,6392261.016158136
592,Бульвар Дмитрия Донского,"Бульвар Дмитрия Донского, вход-выход 2 в северный вестибюль",55.5702545,37.5782141,1909622.2746396963,6392302.402522825
593,Бульвар Дмитрия Донского,"Бульвар Дмитрия Донского, вход-выход 5 в северный вестибюль",55.5706249,37.5766966,1909515.844572326,6392310.542800589
594,Аннино,"Аннино, вход-выход 2 в северный вестибюль",55.5835081,37.5971905,1910291.0869532384,6394129.55084158
595,Улица академика Янгеля,"Улица академика Янгеля, вход-выход 3 в северный вестибюль",55.596086,37.601979,1910117.6917259714,6395586.297115348
596,Пражская,"Пражская, вход-выход 6 в южный вестибюль",55.6104776,37.602867,1909638.7665618074,6397156.745669317
597,Пражская,"Пражская, вход-выход 8 в южный вестибюль",55.6106299,37.6044868,1909731.9849012466,6397207.136598015
598,Пражская,"Пражская, вход-выход 2 в северный вестибюль",55.613286,37.6047011,1909646.651046425,6397498.026353119
599,Пражская,"Пражская, вход-выход 4 в северный вестибюль",55.613371,37.60417,1909611.0897025878,6397496.053858056
600,Южная,"Южная, вход-выход 2 в южный вестибюль",55.6211368,37.6079826,1909555.9689010025,6398413.346170089
601,Южная,"Южная, вход-выход 4 в южный вестибюль",55.6216015,37.6092995,1909619.0948535195,6398491.069343448
602,Южная,"Южная, вход-выход 2 в северный вестибюль",55.6233815,37.6085884,1909509.7379758405,6398668.078206467
603,Южная,"Южная, вход-выход 4 в северный вестибюль",55.6228155,37.6097177,1909599.6148087305,6398630.735267226
604,Чертановская,"Чертановская, выход из южного вестибюля",55.6398206,37.6079182,1908859.5470061619,6400426.4783854745
605,Чертановская,"Чертановская, вход-выход 1 в северный вестибюль",55.641717,37.6049276,1908606.8882027413,6400568.250075989
606,Чертановская,"Чертановская, вход-выход 2 в северный вестибюль",55.6418638,37.6052253,1908619.600878423,6400590.318102552
607,Чертановская,"Чертановская, вход-выход 4 в северный вестибюль",55.6405152,37.6055584,1908689.8969231436,6400451.897497091
608,Чертановская,"Чертановская, вход-выход 5 в северный вестибюль",55.6404472,37.605735,1908703.1865467997,6400448.267927806
609,Нагатинская,"Нагатинская, вход-выход 4 в южный вестибюль",55.68186,37.620974,1908096.1709668827,6405232.447651978
610,Нагатинская,"Нагатинская, вход-выход 2 в северный вестибюль",55.684112,37.6236051,1908172.8548605768,6405530.376763929
611,Нагатинская,"Нагатинская, вход-выход 3 в северный вестибюль",55.6838692,37.623651,1908184.6605430844,6405505.1650449615
612,Чеховская,"Чеховская, вход-выход 1 в вестибюль",55.7660404,37.6081884,1904194.5441891022,6414038.792918783
613,Чеховская,"Чеховская, вход-выход 2 в вестибюль",55.7659046,37.6078828,1904181.013723718,6414017.761688449
614,Чеховская,"Чеховская, вход-выход 4 в вестибюль",55.765702,37.6080783,1904200.4124906224,6414000.014782322
615,Аэропорт,"Аэропорт, выход 1 из северного вестибюля",55.8009779,37.5321144,1898278.962747336,6416216.385373584
616,Динамо,"Динамо, выход из северного вестибюля",55.790543,37.5566397,1900154.5659084136,6415602.8956424575
617,Динамо,"Динамо, выход из южного вестибюля",55.7889368,37.5597027,1900400.0845926416,6415493.668026525
618,Белорусская,"Белорусская, выход из вестибюля",55.7775707,37.5821305,1902183.6086979175,6414736.794453787
619,Маяковская,"Маяковская, выход из северного вестибюля",55.771119,37.594597,1903180.2610258819,6414301.928733138
620,Маяковская,"Маяковская, вход-выход 1 в южный вестибюль",55.769542,37.597155,1903394.183990809,6414185.433266856
621,Новокузнецкая,"Новокузнецкая, выход из вестибюля",55.7424006,37.6290579,1906340.7366745176,6411927.729131076
622,Измайловская,"Измайловская, вход-выход 2 в западный вестибюль",55.7876901,37.7798972,1913815.9340583396,6419977.823861753
623,Измайловская,"Измайловская, вход-выход 2 в восточный вестибюль",55.7877293,37.7833601,1914024.651361511,6420055.053257823
624,Киевская,"Киевская, вход 2 в вестибюль с площади",55.743086,37.564826,1902409.481225132,6410657.88339905
625,Смоленская,"Смоленская, выход 1 из вестибюля",55.747894,37.583556,1903370.2943773037,6411567.597801039
626,Площадь Революции,"Площадь Революции, выход из западного (объединенного) вестибюля",55.756604,37.619705,1905244.7296523366,6413262.738705417
627,Бауманская,"Бауманская, выход из вестибюля",55.772378,37.679156,1908270.5302682475,6416209.005951184
628,Электрозаводская,"Электрозаводская, выход из вестибюля",55.781959,37.705227,1909496.8700121008,6417788.88511967
629,Семёновская,"Семеновская, выход из вестибюля",55.783123,37.719345,1910310.677163227,6418211.026129738
630,Партизанская,"Партизанская, выход из вестибюля",55.788419,37.749668,1911953.811223047,6419419.530991279
631,Речной вокзал,"Речной вокзал, выход из южного вестибюля",55.854286,37.476757,1892949.7282337074,6420811.706794541
632,Водный стадион,"Водный стадион, выход из северного вестибюля",55.8405921,37.4863027,1894034.330379101,6419533.695888757
633,Водный стадион,"Водный стадион, выход из южного вестибюля",55.839147,37.487499,1894160.2711172,6419402.763365213
634,Войковская,"Войковская, вход-выход 1 в северный вестибюль",55.8196524,37.4967874,1895443.952766134,6417494.1811075
635,Сокол,"Сокол, выход 1 из западного вестибюля",55.8054549,37.5153342,1897094.5204208912,6416349.5120651545
636,Сокол,"Сокол, выход 2 из западного вестибюля",55.8044414,37.514484,1897080.3637584022,6416222.548596206
637,Павелецкая,"Павелецкая, выход 1 из вестибюля",55.7298459,37.6387336,1907395.492575963,6410777.314149228
638,Речной вокзал,"Речной вокзал, выход из северного вестибюля",55.855784,37.475765,1892834.270334561,6420952.6028856635
639,Павелецкая,"Павелецкая, выход 2 из вестибюля",55.7298362,37.6384791,1907380.3736338262,6410770.933181054
640,Тургеневская,"Тургеневская, вход-выход 3 в вестибюль",55.7660845,37.6371339,1905951.739585692,6414649.572421741
641,Тургеневская,"Тургеневская, вход-выход 4 в вестибюль",55.7657457,37.6375314,1905988.4825729046,6414621.386169481
642,Сухаревская,"Сухаревская, вход-выход 1 в вестибюль",55.7729952,37.6328063,1905432.0188415316,6415303.722044195
643,Сухаревская,"Сухаревская, вход-выход 2 в вестибюль",55.7730522,37.6319533,1905378.0813247934,6415292.000168357
644,Проспект Мира,"Проспект Мира, выход 1 из вестибюля",55.7818013,37.6332921,1905134.304286926,6416262.963293842
645,Рижская,"Рижская, выход из вестибюля",55.7923792,37.6359861,1904904.7726438437,6417459.367846577
646,Алексеевская,"Алексеевская, выход из вестибюля",55.8077181,37.6385304,1904489.0122713102,6419165.665266731
647,ВДНХ,"ВДНХ, выход из северного вестибюля",55.8223092,37.641681,1904137.6242791652,6420803.99304223
648,Ботанический сад,"Ботанический сад, выход из южного вестибюля",55.8438661,37.6377148,1903095.396468225,6423043.894449982
649,Ботанический сад,"Ботанический сад, вход-выход 3 в северный вестибюль",55.846664,37.6393029,1903087.6160155605,6423378.6123574665
650,Перово,"Перово, вход-выход 6 в западный вестибюль",55.7506879,37.785092,1915515.6990881874,6416101.326267137
651,Новогиреево,"Новогиреево, вход-выход 1 в западный вестибюль",55.752147,37.815213,1917291.0614573648,6416894.446495162
652,Новогиреево,"Новогиреево, вход-выход 3 в западный вестибюль",55.7518282,37.8143874,1917252.8481240885,6416842.663655456
653,Новогиреево,"Новогиреево, вход-выход 2 в восточный вестибюль",55.751609,37.8188234,1917530.5502838215,6416912.778631959
654,Новогиреево,"Новогиреево, вход-выход 3 в восточный вестибюль",55.7513073,37.8181855,1917503.1010025179,6416866.80122308
655,Тёплый стан,"Тёплый стан, вход-выход 2 в южный вестибюль",55.6178525,37.5082986,1903594.0679266762,6395973.371104522
656,Тёплый стан,"Тёплый стан, вход-выход 3 в южный вестибюль",55.6174952,37.5078859,1903582.0575979261,6395926.218290742
657,Тёплый стан,"Тёплый стан, вход-выход 4 в южный вестибюль",55.6173485,37.5083041,1903612.995798252,6395919.126267717
658,Тёплый стан,"Тёплый стан, вход-выход 4 в северный вестибюль",55.620127,37.5054604,1903336.9331726187,6396159.444158736
659,Коньково,"Коньково, вход-выход 1 в южный вестибюль",55.6319047,37.5191258,1903736.2624516478,6397715.005791233
660,Коньково,"Коньково, вход-выход 4 в южный вестибюль",55.6321937,37.5178067,1903645.113623368,6397718.629378408
661,Коньково,"Коньково, вход-выход 3 в северный вестибюль",55.6341265,37.5191636,1903656.5549924995,6397955.41390463
662,Коньково,"Коньково, вход-выход 6 в северный вестибюль",55.6347764,37.5193886,1903646.291470548,6398030.20301747
663,Беляево,"Беляево, вход-выход 2 в южный вестибюль",55.64166,37.5252102,1903747.2701463918,6398894.149374682
664,Беляево,"Беляево, вход-выход 4 в южный вестибюль",55.6417111,37.5259728,1903791.8975918796,6398915.58730849
665,Беляево,"Беляево, вход-выход 2 в северный вестибюль",55.6436215,37.526597,1903759.4205474786,6399134.64946516
666,Беляево,"Беляево, вход-выход 4 в северный вестибюль",55.6436769,37.5273536,1903803.5203349597,6399156.426278332
667,Калужская,"Калужская, вход-выход 3 в северный вестибюль",55.6576866,37.541689,1904160.059356782,6400966.701130097
668,Новые Черёмушки,"Новые Черёмушки, вход-выход 3 в южный вестибюль",55.669269,37.5539665,1904480.1762879798,6402472.24193394
669,Новые Черёмушки,"Новые Черёмушки, вход-выход 2 в северный вестибюль",55.6710722,37.5551472,1904485.4341175845,6402691.35764073
670,Новослободская,"Новослободская, выход из вестибюля",55.77942,37.6010664,1903265.34561464,6415331.936951742
671,Октябрьская,"Октябрьская, выход 1 из вестибюля кольцевой линии",55.729146,37.610957,1905731.948127055,6410119.915716706
672,Проспект Мира,"Проспект Мира, выход 2 из вестибюля",55.7797496,37.633592,1905228.7614411812,6416048.126316477
673,Калужская,"Калужская, вход-выход 2 в южный вестибюль",55.6564207,37.539179,1904053.8211377955,6400777.746963876
674,Калужская,"Калужская, вход-выход 4 в южный вестибюль",55.6561196,37.5400104,1904115.6366190333,6400762.648629135
675,Калужская,"Калужская, вход-выход 2 в северный вестибюль",55.6579916,37.5408091,1904095.144450395,6400981.205442925
676,Свиблово,"Свиблово, вход-выход 2 в южный вестибюль",55.8546056,37.65118,1903512.073301272,6424482.9115768885
677,Бабушкинская,"Бабушкинская, вход-выход 2 в южный вестибюль",55.868448,37.663208,1903725.5483981527,6426226.184520562
678,Бабушкинская,"Бабушкинская, вход-выход 2 в северный вестибюль",55.8707105,37.6643751,1903711.9859362056,6426494.386141432
679,Бабушкинская,"Бабушкинская, вход-выход 4 в северный вестибюль",55.870572,37.665231,1903768.9921319804,6426497.388177314
680,Медведково,"Медведково, выход из южного вестибюля",55.8860095,37.661323,1902957.3242433975,6428078.766625669
681,Медведково,"Медведково, выход из северного вестибюля",55.8881393,37.6617139,1902901.6664241792,6428316.405736409
682,Варшавская,"Варшавская, вход-выход 2 в северный вестибюль",55.6537746,37.622029,1909202.428429141,6402226.804799387
683,Варшавская,"Варшавская, вход-выход 3 в северный вестибюль",55.6537836,37.6223458,1909221.4052627373,6402234.419774773
684,Перово,"Перово, вход-выход 4 в западный вестибюль",55.7510022,37.7842983,1915455.7176581405,6416118.439802823
685,Новые Черёмушки,"Новые Черёмушки, вход-выход 4 в северный вестибюль",55.670868,37.555662,1904524.358496478,6402680.100795577
686,Профсоюзная,"Профсоюзная, вход-выход 2 в южный вестибюль",55.6771381,37.5616571,1904657.6953682054,6403481.511404491
687,Профсоюзная,"Профсоюзная, вход-выход 4 в южный вестибюль",55.676938,37.562204,1904698.4205457123,6403471.370747252
688,Профсоюзная,"Профсоюзная, вход-выход 2 в северный вестибюль",55.6787501,37.5634052,1904704.5504152603,6403691.872540385
689,Профсоюзная,"Профсоюзная, вход-выход 4 в северный вестибюль",55.6785501,37.5639475,1904744.9906643596,6403681.647304924
690,Академическая,"Академическая, вход-выход 2 в южный вестибюль",55.6870202,37.5722186,1904935.320540124,6404767.861207403
691,Академическая,"Академическая, вход-выход 4 в южный вестибюль",55.6868261,37.5729207,1904985.2705504072,6404761.618524434
692,Академическая,"Академическая, вход-выход 2 в северный вестибюль",55.6887732,37.5740988,1904984.932684861,6404996.1896816315
693,Академическая,"Академическая, вход-выход 3 в северный вестибюль",55.6885839,37.5748037,1905034.8738860653,6404990.524151091
694,Ленинский проспект,"Ленинский проспект, выход из южного вестибюля",55.7069319,37.5848694,1904968.1553132844,6407179.222354336
695,Ленинский проспект,"Ленинский проспект, выход из северного вестибюля",55.7084539,37.5874188,1905066.9419720017,6407396.6423909925
696,Шаболовская,"Шаболовская, выход из вестибюля",55.7187168,37.6078527,1905930.0055223661,6408930.696259178
697,Октябрьская,"Октябрьская, выход 1 из вестибюля",55.7311623,37.6128713,1905773.572664771,6410377.341687753
698,Китай-город,"Китай-город, вход-выход 4 в южный вестибюль",55.753277,37.633673,1906217.2948515757,6413196.701329075
699,Китай-город,"Китай-город, вход-выход 7 в южный вестибюль",55.7531039,37.6333267,1906202.6763395604,6413170.789088428
700,Китай-город,"Китай-город, вход-выход 6 в северный вестибюль",55.7570083,37.6318543,1905968.1345833803,6413560.757111638
701,Тургеневская,"Тургеневская, вход-выход 1 в вестибюль",55.7662971,37.6364586,1905902.8074407065,6414658.3376821
702,Тургеневская,"Тургеневская, вход-выход 2 в вестибюль",55.7663251,37.6367156,1905917.3823900593,6414666.739580315
703,Таганская,"Таганская, выход из вестибюля",55.742496,37.6533707,1907815.4195174964,6412447.673724756
704,Павелецкая,"Павелецкая, вход 2 в вестибюль",55.731524,37.635997,1907166.708502695,6410900.819557952
705,Павелецкая,"Павелецкая, выход из вестибюля",55.7313938,37.6365634,1907205.9936863484,6410898.658730266
706,Белорусская,"Белорусская, выход из западного вестибюля",55.7752944,37.5827264,1902304.198451176,6414503.880166238
707,Зябликово,"Зябликово, вход-выход в южный вестибюль",55.611206,37.7448722,1918276.6988109364,6400222.894648246
708,Петровско-Разумовская,"Петровско-Разумовская, выход из вестибюля",55.8366001,37.5752041,1899574.5747534835,6420954.641022613
709,Владыкино,"Владыкино, выход из южного вестибюля",55.8460782,37.5894504,1900086.9234062885,6422273.495933133
710,Владыкино,"Владыкино, выход из северного вестибюля",55.8482237,37.5906357,1900079.170675052,6422529.46460216
711,Отрадное,"Отрадное, вход-выход 2 в южный вестибюль",55.862482,37.6035557,1900332.993295272,6424335.821204777
712,Преображенская площадь,"Преображенская площадь, вход-выход 3 в южный вестибюль",55.7959432,37.7136586,1909487.2164136367,6419472.77938794
713,Преображенская площадь,"Преображенская площадь, вход-выход 4 в южный вестибюль",55.7953691,37.7139381,1909525.5965421116,6419416.798499066
714,Шипиловская,"Шипиловская, вход-выход 3 в южный вестибюль",55.6200017,37.7443096,1917914.3730748044,6401158.998017966
715,Братиславская,"Братиславская, вход-выход 2 в южный вестибюль",55.6590471,37.7498276,1916794.1519223258,6405483.3637516005
716,Дубровка,"Дубровка, вход-выход 2 в вестибюль",55.7180916,37.6769216,1910155.4722812504,6410311.8231133595
717,Римская,"Римская, вход-выход 3 в вестибюль",55.746918,37.680107,1909276.2437683705,6413485.338456185
718,Чкаловская,"Чкаловская, вход 2 в вестибюль",55.7559672,37.6581527,1907605.1373109468,6413999.808808298
719,Преображенская площадь,"Преображенская площадь, вход-выход 5 в южный вестибюль",55.7952782,37.7142113,1909545.5695799806,6419412.746050814
720,Преображенская площадь,"Преображенская площадь, вход-выход 3 в северный вестибюль",55.796357,37.7173709,1909697.0945955126,6419595.380114643
721,Преображенская площадь,"Преображенская площадь, вход-выход 4 в северный вестибюль",55.796439,37.717312,1909690.460369542,6419602.976869408
722,Черкизовская,"Черкизовская, выход из южного вестибюля",55.8027286,37.7450544,1911139.2019424343,6420864.003597039
723,Жулебино,"Жулебино, вход-выход 4 в 1-й вестибюль",55.6842382,37.8542378,1922209.3346191098,6410404.979710921
724,Лермонтовский проспект,"Лермонтовский проспект, вход-выход 1 в 1-й вестибюль",55.702099,37.849848,1921272.4051152784,6412235.966974799
725,Лермонтовский проспект,"Лермонтовский проспект, вход-выход 2 в 1-й вестибюль",55.701738,37.850545,1921328.341808669,6412211.841616638
726,Лермонтовский проспект,"Лермонтовский проспект, вход-выход 3 в 1-й вестибюль",55.7029107,37.8510616,1921315.7845335286,6412349.104157421
727,Лермонтовский проспект,"Лермонтовский проспект, вход-выход 2 во 2-й вестибюль",55.7005819,37.8525934,1921496.3065500504,6412130.6926611895
728,Отрадное,"Отрадное, вход-выход 3 в южный вестибюль",55.862289,37.604135,1900375.268168752,6424327.122262421
729,Бибирево,"Бибирево, вход-выход 1 в южный вестибюль",55.8838921,37.6042175,1899577.861236998,6426656.781973477
730,Бибирево,"Бибирево, вход-выход 4 в южный вестибюль",55.883398,37.604883,1899636.5225418534,6426617.434574758
731,Бибирево,"Бибирево, вход-выход 2 в северный вестибюль",55.884411,37.601283,1899380.8571122945,6426651.432586291
732,Алтуфьево,"Алтуфьево, вход-выход 2 в южный вестибюль",55.8969868,37.5865234,1898020.112056522,6427698.59876018
733,Алтуфьево,"Алтуфьево, вход-выход 4 в южный вестибюль",55.8966671,37.5877304,1898105.06023503,6427689.323723015
734,Алтуфьево,"Алтуфьево, вход-выход 1 в северный вестибюль",55.8991659,37.5878807,1898021.3952032542,6427961.726190751
735,Алтуфьево,"Алтуфьево, вход-выход 4 в северный вестибюль",55.8988252,37.5864325,1897946.3642848944,6427894.807318035
736,Университет,"Университет, вход 2 в южный вестибюль",55.6916654,37.5345592,1902469.7329562278,6404481.789721976
737,Университет,"Университет, выход из южного вестибюля",55.6918504,37.5349748,1902488.2083255204,6404510.414644886
738,Университет,"Университет, выход из северного вестибюля",55.693462,37.5344495,1902396.6484719713,6404673.224651445
739,Университет,"Университет, вход 2 в северный вестибюль",55.6931972,37.5346776,1902420.3280448162,6404649.433594247
740,Воробьёвы горы,"Воробьёвы горы, выход 1 из северного вестибюля",55.7115737,37.5614463,1903370.4917163693,6407189.922850348
