,NameOfStation,Name,Latitude_WGS84,Longitude_WGS84,Xs,Ys
341,Печатники,"Печатники, вход-выход 4 в вестибюль",55.6924089,37.7285261,1914252.454533041,6408629.521009065
342,Печатники,"Печатники, вход-выход 2 в вестибюль",55.692675,37.7284457,1914237.6373391454,6408656.503214206
343,Пионерская,"Пионерская, вход-выход в западный вестибюль",55.735944,37.466756,1896707.8056989708,6407843.750843872
344,Полежаевская,"Полежаевская, вход-выход 3 в 1-й вестибюль",55.7775229,37.5211113,1898477.9984093136,6413458.506542218
345,Полежаевская,"Полежаевская, вход-выход 2 в 1-й вестибюль",55.778046,37.5213477,1898473.0249223644,6413519.82828188
346,Полежаевская,"Полежаевская, вход-выход 1 в 1-й вестибюль",55.777987,37.5210171,1898455.11790518,6413506.579329741
347,Тёплый стан,"Тёплый стан, вход-выход 1 в северный вестибюль",55.6196587,37.5071612,1903458.0161383091,6396144.437288277
348,Тургеневская,"Тургеневская, вход-выход 6 в вестибюль",55.7654719,37.6366194,1905943.2427677435,6414572.770073936
349,Тургеневская,"Тургеневская, вход-выход 5 в вестибюль",55.7653368,37.6369063,1905965.6958185735,6414564.22031909
350,Тушинская,"Тушинская, вход-выход 1 в 1-й вестибюль",55.8256692,37.4360367,1891534.6199643107,6416881.281942889
351,Тушинская,"Тушинская, вход-выход 2 в 1-й вестибюль",55.8254341,37.4370076,1891602.2122918984,6416876.065559243
352,Тушинская,"Тушинская, вход-выход 1 во 2-й вестибюль",55.8273392,37.4374154,1891556.7775574278,6417089.945477525
353,Тушинская,"Тушинская, вход-выход 4 во 2-й вестибюль",55.8281911,37.4380376,1891563.154728111,6417194.706799368
354,Улица Горчакова,"Улица Горчакова, вход-выход в вестибюль",55.5420806,37.5319534,1907835.0809257522,6388294.860098936
355,Улица 1905 года,"Улица 1905 года, вход-выход 1 во 2-й вестибюль",55.765435,37.560437,1901315.0622526002,6412975.531343956
356,Филёвский парк,"Филёвский парк, вход-выход в западный вестибюль",55.739437,37.4829878,1897566.5501881759,6408558.1144034155
357,Фили,"Фили, вход в западный вестибюль",55.746725,37.514093,1899189.5230693028,6409991.732773576
358,Фили,"Фили, вход-выход в восточный вестибюль",55.74529,37.515767,1899344.350473679,6409871.894308727
359,Фрунзенская,"Фрунзенская, вход-выход в вестибюль",55.7274309,37.5805775,1903947.454991847,6409299.377471464
360,Царицыно,"Царицыно, вход-выход 1 в северный вестибюль",55.6222568,37.6682219,1913189.4367052575,6399799.157644072
361,Царицыно,"Царицыно, вход-выход 3 в северный вестибюль",55.6227062,37.6687206,1913203.1557922203,6399858.091088435
362,Царицыно,"Царицыно, вход-выход 2 в северный вестибюль",55.6224821,37.668925,1913223.952836699,6399838.2313652
363,Царицыно,"Царицыно, вход-выход 3 в южный вестибюль",55.6204932,37.6698636,1913355.1275901622,6399643.564954464
364,Царицыно,"Царицыно, вход-выход 2 в южный вестибюль",55.620199,37.6704,1913398.7841967477,6399623.131370516
365,Тёплый стан,"Тёплый стан, вход-выход 3 в северный вестибюль",55.6195654,37.5060675,1903394.702849239,6396111.54405187
366,Тёплый стан,"Тёплый стан, вход-выход 1 в южный вестибюль",55.617725,37.5087383,1903625.6100043717,6395968.798927485
367,Тимирязевская,"Тимирязевская, вход-выход 4 в вестибюль",55.818659,37.574511,1900197.7274873713,6419006.467949676
368,Тимирязевская,"Тимирязевская, вход-выход 1 в вестибюль",55.818747,37.575101,1900230.2678801895,6419028.267836557
369,Тимирязевская,"Тимирязевская, вход-выход в вестибюль",55.8188162,37.5780576,1900407.1156762596,6419097.443945249
370,Третьяковская,"Третьяковская, вход-выход в вестибюль",55.740683,37.625617,1906195.2993505048,6411670.51211732
371,Трубная,"Трубная, вход-выход 1 в вестибюль",55.7678427,37.6218566,1904958.163949976,6414519.113385933
372,Тульская,"Тульская, вход-выход в южный вестибюль",55.70783,37.622461,1907222.9568324608,6408063.147621024
373,Тульская,"Тульская, вход-выход в северный вестибюль",55.709564,37.62259,1907166.4480795534,6408252.767326486
374,Пролетарская,"Пролетарская, вход-выход 2 в восточный вестибюль",55.732291,37.668333,1909104.7511522558,6411661.793720439
375,Проспект Вернадского,"Проспект Вернадского, вход-выход 5 в южный вестибюль",55.6765476,37.5045266,1901198.3779033099,6402224.913573339
