,level_0,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
110,110,1874,1874,Срочное фото,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Новокузнецкая улица, дом 13, строение 1",район Замоскворечье,Центральный административный округ,37.631757,55.73741,1906690.2159054163,6411446.3755984865
111,111,1877,1877,Фотоуслуги,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Новокузнецкая улица, дом 43/16, строение 2",район Замоскворечье,Центральный административный округ,37.63589561618071,55.73186110450448,1907148.0197724986,6410935.029058669
112,112,1942,1942,КОПИМАСТЕР,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Калужская площадь, дом 1, корпус 1",район Якиманка,Центральный административный округ,37.6118191705758,55.7282259680991,1905818.530946169,6410038.794855872
113,113,1943,1943,Фото,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Калужская площадь, дом 1, корпус 1",район Якиманка,Центральный административный округ,37.61211507272233,55.72842926683958,1905828.9872419361,6410066.905126849
114,114,1951,1951,АТЛАНТИК ВЕРСИЯ,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Октябрьская улица, дом 91, корпус 1",район Марьина Роща,Северо-Восточный административный округ,37.612312697036,55.79746780598911,1903278.4253631728,6417512.3324710475
115,115,1964,1964,Заправка картриджей,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, улица Большая Ордынка, дом 17, строение 1",район Замоскворечье,Центральный административный округ,37.625777255610245,55.74255221185183,1906135.633293991,6411875.3429892175
116,116,2000,2000,ХУДОЖЕСТВЕННАЯ ФОТОСТУДИЯ,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Открытое шоссе, дом 22",район Метрогородок,Восточный административный округ,37.751187574622975,55.82007123846185,1910863.20294596,6422861.30726679
117,117,2002,2002,Фотоуслуги,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Открытое шоссе, дом 24, корпус 11",район Метрогородок,Восточный административный округ,37.75665431603149,55.8262628400549,1910963.25873672,6423643.3113237135
118,118,2010,2010,Фотоуслуги,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Отрадная улица, дом 7",район Отрадное,Северо-Восточный административный округ,37.610064968692704,55.85740844718638,1900915.942128123,6423925.061424355
119,119,2083,2083,Фото на память,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, улица Паустовского, дом 8, корпус 3",район Ясенево,Юго-Западный административный округ,37.536834745975504,55.5998269832871,1906001.5624760138,6394625.4633696135
120,120,2102,2102,Фото,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Первомайская улица, дом 49",район Измайлово,Восточный административный округ,37.78954060464317,55.793297896872325,1914191.3397669485,6420785.2145674825
121,121,2106,2106,Профоотограф,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Первомайская улица, дом 60, корпус 1",район Измайлово,Восточный административный округ,37.7944036459651,55.79233607804732,1914522.4609438204,6420784.177051992
