,level_0,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
282,2243,30687,30687,Смешные цены,Магазин «Промтовары»,Смешные цены,да,реализация непродовольственных товаров,"город Москва, Краснодарская улица, дом 57, корпус 1",район Люблино,Юго-Восточный административный округ,37.767438,55.67694,1917198.6907928986,6407783.089437356
283,2244,30688,30688,Смешные цены,Магазин «Промтовары»,Смешные цены,да,реализация непродовольственных товаров,"город Москва, Краснодарская улица, дом 65/18, корпус 1",район Люблино,Юго-Восточный административный округ,37.77190390624287,55.67594179486354,1917507.902426714,6407769.801131139
284,2247,30938,30938,Подружка,Магазин «Промтовары»,Подружка,да,реализация непродовольственных товаров,"город Москва, проспект 40 лет Октября, дом 19",район Люблино,Юго-Восточный административный округ,37.746552,55.676793,1915932.426285625,6407326.622384653
285,2250,30975,30975,Tele2,Магазин «Промтовары»,Tele2,да,реализация непродовольственных товаров,"город Москва, Уральская улица, дом 4",район Гольяново,Восточный административный округ,37.80116992891689,55.811790233190635,1914204.420452192,6423022.32691864
286,2261,31020,31020,Улыбка радуги,Магазин «Промтовары»,Улыбка радуги,да,реализация непродовольственных товаров,"город Москва, Халтуринская улица, дом 17",район Преображенское,Восточный административный округ,37.724652,55.803454,1909874.1228782672,6420513.0452484535
287,2263,31031,31031,Линзмастер,Магазин «Промтовары»,Линзмастер,да,реализация непродовольственных товаров,"город Москва, улица Маросейка, дом 10/1, строение 1",Басманный район,Центральный административный округ,37.63701159354275,55.757559426593545,1906261.0995437417,6413728.207861015
288,2269,31072,31072,Билайн,Магазин «Промтовары»,Билайн,да,реализация непродовольственных товаров,"город Москва, улица Покровка, дом 14/2, строение 1",Басманный район,Центральный административный округ,37.645453390203095,55.75883862739046,1906726.5942961732,6414042.99283286
289,2276,31157,31157,Tele2,Магазин «Промтовары»,Tele2,да,реализация непродовольственных товаров,"город Москва, Сокольническая площадь, дом 4, корпус 1-2",район Сокольники,Восточный административный округ,37.676725629535476,55.78994487959962,1907468.8074591719,6418050.968850425
290,2287,31364,31364,Organic Shop,Магазин «Промтовары»,Organic Shop,да,реализация непродовольственных товаров,"город Москва, улица Рождественка, дом 6/9/20, строение 1",Мещанский район,Центральный административный округ,37.62380624834166,55.76143024851846,1905314.773770698,6413868.796446738
291,2288,31423,31423,Мегафон,Магазин «Промтовары»,Мегафон,да,реализация непродовольственных товаров,"город Москва, Мясницкая улица, дом 10, строение 1",Басманный район,Центральный административный округ,37.63175627429422,55.76020764805926,1905843.3215524002,6413903.526322093
292,2289,31424,31424,МТС,Магазин «Промтовары»,МТС,да,реализация непродовольственных товаров,"город Москва, Мясницкая улица, дом 10, строение 1",Басманный район,Центральный административный округ,37.63175627429422,55.76020764805926,1905843.3215524002,6413903.526322093
293,2306,31494,31494,Сплав,Магазин «Промтовары»,Сплав,да,реализация непродовольственных товаров,"Ткацкая улица, дом 4, строение 1",район Соколиная Гора,Восточный административный округ,37.720915000000005,55.785068,1910333.4304636081,6418453.593559372
294,2309,31521,31521,Natura Siberica,Магазин «Промтовары»,Natura Siberica,да,реализация непродовольственных товаров,"город Москва, улица Маросейка, дом 4/2, строение 1",Басманный район,Центральный административный округ,37.633700971249574,55.757382053074245,1906066.4840579138,6413639.726842336
295,2310,31523,31523,Императорский фарфор,Магазин «Промтовары»,Императорский фарфор,да,реализация непродовольственных товаров,"город Москва, улица Маросейка, дом 4/2, строение 1",Басманный район,Центральный административный округ,37.633700971249574,55.757382053074245,1906066.4840579138,6413639.726842336
296,2315,31759,31759,Sunlight,Магазин «Промтовары»,Sunlight,да,реализация непродовольственных товаров,"город Москва, Хабаровская улица, дом 15",район Гольяново,Восточный административный округ,37.823381968680245,55.822529760358144,1915148.8420942759,6424647.713778812
297,2316,31762,31762,Мегафон,Магазин «Промтовары»,Мегафон,да,реализация непродовольственных товаров,"город Москва, Уральская улица, дом 1А",район Гольяново,Восточный административный округ,37.797942880559894,55.811649837821655,1914013.9539812515,6422939.141776
298,2322,32163,32163,Московский Ювелирный Завод,Магазин «Промтовары»,Московский Ювелирный Завод,да,реализация непродовольственных товаров,"город Москва, улица Маросейка, дом 2/15, строение 1",Басманный район,Центральный административный округ,37.632506505137954,55.75717626883854,1906001.5336798928,6413592.523741319
299,2324,32240,32240,Arya Home,Магазин «Промтовары»,Arya Home,да,реализация непродовольственных товаров,"город Москва, Новопетровская улица, дом 6",район Коптево,Северный административный округ,37.51649858558768,55.82567975708351,1896417.4441524856,6418554.071846172
300,2325,32241,32241,Gipfel,Магазин «Промтовары»,Gipfel,да,реализация непродовольственных товаров,"город Москва, Новопетровская улица, дом 6",район Коптево,Северный административный округ,37.51649858558768,55.82567975708351,1896417.4441524856,6418554.071846172
301,2326,32243,32243,Фамилия,Магазин «Промтовары»,Фамилия,да,реализация непродовольственных товаров,"город Москва, Новопетровская улица, дом 6",район Коптево,Северный административный округ,37.51649858558768,55.82567975708351,1896417.4441524856,6418554.071846172
302,2327,32291,32291,Gipfel-посуда,Магазин «Промтовары»,Gipfel,да,реализация непродовольственных товаров,"город Москва, улица Зои и Александра Космодемьянских, дом 35/1",район Коптево,Северный административный округ,37.525730465477984,55.8250799814344,1896999.832825121,6418681.6138882935
303,2328,32343,32343,Fix Price,Магазин «Промтовары»,Fix Price,да,реализация непродовольственных товаров,"город Москва, Новокосинская улица, дом 22",район Новокосино,Восточный административный округ,37.8610947073799,55.740097559119256,1920530.4881557315,6416567.041972662
304,2329,32417,32417,КрепМаркет,Магазин «Промтовары»,КрепМаркет,да,реализация непродовольственных товаров,"город Москва, Новая Басманная улица, дом 31, строение 1",Басманный район,Центральный административный округ,37.66714137937856,55.768565483867036,1907682.6056319538,6415546.047790105
305,2330,32452,32452,ВАЙЛДБЕРРИЗ Wildberries,Магазин «Промтовары»,Wildberries,да,реализация непродовольственных товаров,"город Москва, Будайский проезд, дом 1",район Ростокино,Северо-Восточный административный округ,37.664941649260825,55.83477184961628,1905084.6525767618,6422634.086048523
306,2336,32792,32792,Императорский фарфор,Магазин «Промтовары»,Императорский фарфор,да,реализация непродовольственных товаров,"город Москва, Ленинградский проспект, дом 62",район Аэропорт,Северный административный округ,37.53247369926881,55.80104888198879,1898298.1538624184,6416231.524437544
307,2337,33009,33009,Смешные цены,Магазин «Промтовары»,Смешные цены,да,реализация непродовольственных товаров,"город Москва, 11-я Парковая улица, дом 9/35",район Восточное Измайлово,Восточный административный округ,37.80523415375361,55.79202947446004,1915191.189895139,6420979.659748498
308,2350,33351,33351,Точка любви,Магазин «Промтовары»,Точка любви,да,реализация непродовольственных товаров,"город Москва, проспект 60-летия Октября, дом 18, корпус 1",Академический район,Юго-Западный административный округ,37.574191077684006,55.689715796582746,1904955.6513127047,6405099.746960235
309,2361,33643,33643,220 Вольт,Магазин «Промтовары»,220 Вольт,да,реализация непродовольственных товаров,"город Москва, улица Дмитриевского, дом 17",район Косино-Ухтомский,Восточный административный округ,37.893457111225,55.709332014411814,1923653.1188591344,6413939.447335834
310,2362,33671,33671,Redmond,Магазин «Промтовары»,Redmond,да,реализация непродовольственных товаров,"город Москва, Сокольническая площадь, дом 9",район Сокольники,Восточный административный округ,37.68023357917797,55.790888568628944,1907646.6356554925,6418226.260780274
311,2370,33863,33863,Улыбка радуги,Магазин «Промтовары»,Улыбка радуги,да,реализация непродовольственных товаров,"город Москва, поселение Сосенское, посёлок Коммунарка, Ясная улица, дом 5",поселение Сосенское,Новомосковский административный округ,37.47571,55.56726,1903467.8641098044,6389835.949173735
