,Name,District,AdmArea,Latitude_WGS84,Longitude_WGS84,Xs,Ys
42,"«Мкр. Западное Дегунино», Ангарская улица (75)",район Западное Дегунино,Северный административный округ,55.87606574,37.5174212,1894609.8040633171,6410786.033837667
43,"«Ангарская ул.», Коровинское шоссе (76)",Дмитровский район,Северный административный округ,55.87921929,37.52218296,1894781.6490781258,6413440.419474772
44,"«Колледж № 7», Клязьминская улица (77)",Дмитровский район,Северный административный округ,55.88456731,37.52067236,1894492.2271682385,6413533.6049476005
45,"«Ин-т Микрохирургии глаза», Коровинское шоссе (78)",район Западное Дегунино,Северный административный округ,55.86877206,37.53738746,1896089.7133878777,6400682.778510252
46,"«Селигерская ул.», Коровинское шоссе (79)",район Западное Дегунино,Северный административный округ,55.86639614,37.54237868,1896480.1946551488,6400801.009030318
47,"«К/т Комсомолец», Дмитровское шоссе (80)",Тимирязевский район,Северный административный округ,55.84090834,37.57003659,1899101.4335683712,6401618.640319043
48,"«Педагогический колледж», Большая Академическая улица (81)",район Коптево,Северный административный округ,55.84190084,37.55258978,1898006.562315364,6401553.712446589
49,"«Университет Природообустройства», Большая Академическая улица (82)",район Коптево,Северный административный округ,55.83894722,37.54470218,1897637.5657156769,6401573.935991875
50,"«Роддом № 27», Большая Академическая улица (83)",район Коптево,Северный административный округ,55.8289194,37.53038275,1897140.0762867834,6401719.200794082
51,"«Роддом № 27», Большая Академическая улица (84)",район Коптево,Северный административный округ,55.82911305,37.53085818,1897161.7569680947,6401673.948884808
52,"«Университет Природообустройства», Большая Академическая улица (85)",Тимирязевский район,Северный административный округ,55.83864991,37.54499163,1897666.1313637919,6401730.41151863
53,"«Педагогический колледж», Большая Академическая улица (86)",Тимирязевский район,Северный административный округ,55.84225467,37.5546848,1898120.5110180392,6401685.16390853
54,"«Метро Петровско-Разумовская», улица Линии Октябрьской Железной Дороги (87)",Тимирязевский район,Северный административный округ,55.83730911,37.5755751,1899570.7855729796,6419391.800839156
55,"«Метро Селигерская», Коровинское шоссе (91)",Бескудниковский район,Северный административный округ,55.86556347,37.54477895,1896656.5099483328,6417515.66423554
56,"«Селигерская ул.», Коровинское шоссе (92)",Бескудниковский район,Северный административный округ,55.86754868,37.54054356,1896326.2911172938,6417559.482030864
57,"«Ин-т Микрохирургии глаза», Коровинское шоссе (93)",Бескудниковский район,Северный административный округ,55.86998419,37.53539092,1895923.8356130824,6422536.911982161
58,"«Колледж № 7», Клязьминская улица (94)",Дмитровский район,Северный административный округ,55.88351247,37.51853547,1894401.802121141,6419524.98357627
59,"«Ангарская ул.», Ангарская улица (95)",район Западное Дегунино,Северный административный округ,55.87759056,37.5202723,1894726.1482355993,6417350.736270851
60,"«Мкр. Западное Дегунино», Ангарская улица (96)",район Западное Дегунино,Северный административный округ,55.87600214,37.51697285,1894584.9887875323,6417401.710470543
61,"«Весенняя ул.», Ангарская улица (97)",район Западное Дегунино,Северный административный округ,55.87432548,37.51498184,1894526.3630353431,6417353.717516497
62,"«Ст. Ховрино», Путейская улица (98)",район Западное Дегунино,Северный административный округ,55.86996961,37.51076263,1894431.7737926058,6411300.677726284
63,"«Онкологический диспансер», Старопетровский проезд (99)",Войковский район,Северный административный округ,55.82324046,37.50259018,1895663.5723853596,6409033.970637406
64,"«Старопетровский пр.», Старопетровский проезд (100)",Войковский район,Северный административный округ,55.82466889,37.50872434,1895983.045695255,6416906.819560891
65,"«Ф-ка игрушек», улица Клары Цеткин (101)",район Коптево,Северный административный округ,55.82980224,37.51178731,1895979.1468847853,6416759.2408710485
66,"«Диспансер», Михалковская улица (103)",район Коптево,Северный административный округ,55.8371895,37.50612355,1895362.4448927683,6406848.432128883
67,"«Электромеханический колледж», Михалковская улица (104)",район Коптево,Северный административный округ,55.83774587,37.51347393,1895787.7741308857,6407211.331834999
68,"«Ф-ка им. Петра Алексеева», Михалковская улица (105)",район Коптево,Северный административный округ,55.83963781,37.51656276,1895905.1816897457,6407229.102072146
69,"«Ст. Коптево», Михалковская улица (106)",район Коптево,Северный административный округ,55.84119183,37.519363,1896017.5605740966,6406846.508607096
70,"«Онежская ул. - Колледж», Онежская улица (107)",Головинский район,Северный административный округ,55.84540799,37.52181196,1896010.1382655362,6410793.6870856425
71,"«3-й Лихачевский пер.», Онежская улица (108)",Головинский район,Северный административный округ,55.84940542,37.52077371,1895799.3000631505,6410965.645508218
72,"«Онежская ул., 19», Онежская улица (109)",Головинский район,Северный административный округ,55.85217697,37.5192826,1895606.357784436,6413063.62898923
73,"«Солнечногорская ул.», Онежская улица (110)",Головинский район,Северный административный округ,55.85651537,37.51310736,1895071.4727646834,6413023.319149167
74,"«Флотская ул.», Онежская улица (111)",Головинский район,Северный административный округ,55.85959686,37.50880466,1894696.6605486006,6420945.248387477
75,"«Фестивальная ул.», Петрозаводская улица (112)",район Ховрино,Северный административный округ,55.86302215,37.50413371,1894286.853227363,6415596.719059296
76,"«М-н Книги», Петрозаводская улица (113)",район Ховрино,Северный административный округ,55.86474198,37.50026617,1893988.8301595163,6415503.816574468
77,"«Аптека», Петрозаводская улица (114)",район Ховрино,Северный административный округ,55.86590354,37.49690351,1893742.0619987582,6417963.706147021
78,"«Петрозаводская ул.», Петрозаводская улица (115)",район Ховрино,Северный административный округ,55.86712794,37.49043936,1893304.9826634598,6418011.780322451
79,"«15-й таксомоторный парк», Беломорская улица (116)",район Ховрино,Северный административный округ,55.86701264,37.48359511,1892894.363893046,6410356.429978568
80,"«Метро Беломорская», Смольная улица (117)",район Левобережный,Северный административный округ,55.86516218,37.47723461,1892577.1264920037,6399595.147243651
81,"«Смольная ул., 45», Смольная улица (118)",район Левобережный,Северный административный округ,55.86286328,37.47967752,1892810.1121562377,6399133.629154193
82,"«Школа им. Марш. Говорова», Смольная улица (119)",район Левобережный,Северный административный округ,55.86114044,37.48169028,1892995.7608166868,6426682.324889903
83,"«Смольная ул.», Фестивальная улица (120)",район Левобережный,Северный административный округ,55.8581037,37.48466984,1893288.5645477348,6426636.240903584
84,"«Автокомбинат № 3», улица Линии Октябрьской Железной Дороги (121)",Тимирязевский район,Северный административный округ,55.84366117,37.56315646,1898582.1521687026,6426644.028285437
85,"«Учебный центр», Клязьминская улица (122)",Дмитровский район,Северный административный округ,55.88566944,37.52245028,1894559.1472811482,6412566.906053926
86,"«Клязьминская ул.», Ангарская улица (123)",Дмитровский район,Северный административный округ,55.88619486,37.5257866,1894741.8076646007,6402473.694474579
87,"«Храм Матроны Московской», Ангарская улица (124)",Дмитровский район,Северный административный округ,55.88299191,37.52949825,1895085.2181943997,6402679.536728394
