,ObjectName,NameSummer,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
228,Спортивный зал,зал тренажерный,"Берингов проезд, дом 3",район Свиблово,Северо-Восточный административный округ,37.66122327750652,55.85607544434479,1904066.0258476695,6424851.573558464
229,Фитнес клуб «Париж-лайф»,зал тренажерный №2,"Петрозаводская улица, дом 11, корпус 3",район Ховрино,Северный административный округ,37.49497563342547,55.86603357415419,1893620.3940358055,6422456.590222427
230,Физкультурно-оздоровительный комплекс «Спортивная школа Борец»,зал тренажерный,"Боровское шоссе, дом 37, корпус 1",район Ново-Переделкино,Западный административный округ,37.359626937779844,55.63941235540293,1893727.3477703587,6395206.67309453
231,Фитнес клуб «Юни-джим Отрадное»,зал тренажерный,"Отрадная улица, дом 16",район Отрадное,Северо-Восточный административный округ,37.613889885913416,55.85479853448488,1901244.736567011,6423723.7392682135
232,Центр досуга и спорта «Маяк»,зал тренажерный,"Задонский проезд, дом 24, корпус 2А",район Зябликово,Южный административный округ,37.753982,55.621633,1918443.418347917,6401538.9778109295
233,Фитнес клуб «Париж-лайф»,зал тренажерный №1,"Петрозаводская улица, дом 11, корпус 3",район Ховрино,Северный административный округ,37.49535114268711,55.865943078299054,1893646.500606565,6422454.638063956
234,Фитнес клуб «Зебра»,зал тренажерный №1,"Новотушинский проезд, дом 10",район Митино,Северо-Западный административный округ,37.37880624800112,55.8390044146082,1887570.58030497,6417134.218350189
235,Крытое сооружение с искусственным льдом «Ледовый дворец Крылатское»,зал тренажерный,"Крылатская улица, дом 16",район Крылатское,Западный административный округ,37.43568583954336,55.76620455237587,1893703.2943727942,6410461.5729455
236,Фитнес клуб «Феникс»,зал тренажерный,"Коптевский бульвар, дом 15А",район Коптево,Северный административный округ,37.523249,55.830301,1896656.1342993279,6419192.761917005
237,Физкультурно-оздоровительный комплекс «Спортивный комплекс ЦСКА «Игровой»,зал тренажерный,"Ленинградский проспект, дом 39, строение 76",Хорошёвский район,Северный административный округ,37.536185,55.791628,1898872.0783505214,6415293.277894089
238,Досугово-спортивный центр «Марфино»,зал тренажерный,"улица Комдива Орлова, дом 8",район Марфино,Северо-Восточный административный округ,37.58078983977154,55.842121256601345,1899708.5726672702,6421666.262022825
239,Физкультурно-оздоровительный компелкс «Спортивная школа олимпийского резерва № 95»,зал тренажерный,"Большая Филёвская улица, дом 6, корпус 1",район Филёвский Парк,Западный административный округ,37.51104754638291,55.752578679752254,1898788.067718615,6410559.430552065
