,level_0,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
664,664,1238,1238,ВУАЛЬ,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Кржижановского, дом 23, корпус 1",Академический район,Юго-Западный административный округ,37.5775960143878,55.677742371508096,1905606.4084804119,6403880.037957015
665,665,1239,1239,Монро,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Кржижановского, дом 23, корпус 2",Академический район,Юго-Западный административный округ,37.57822718487489,55.678006036597104,1905635.0978073943,6403921.6720788665
666,666,1241,1241,Guinot,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Кривоарбатский переулок, дом 19",район Арбат,Центральный административный округ,37.58889511581202,55.7474992140263,1903709.557133601,6411636.670890984
667,667,1243,1243,Салон Гая,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Кронштадтский бульвар, дом 39, корпус 1",Головинский район,Северный административный округ,37.50761819158372,55.84971654972717,1894990.0207013057,6420960.466201599
668,668,1245,1245,Анастасия Стайл,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Гоголевский бульвар, дом 3",район Хамовники,Центральный административный округ,37.6006,55.7449,1904517.6326476885,6411601.3163184235
669,669,1246,1246,ТРЕЖОЛИ,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Пречистенка, дом 24/1",район Хамовники,Центральный административный округ,37.59350505855341,55.741905121857904,1904197.274530954,6411130.059271655
670,670,1249,1249,Салон красоты «Diva»,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Крупской, дом 15",Ломоносовский район,Юго-Западный административный округ,37.52619,55.683864,1902248.19827798,6403465.852629498
671,671,1253,1253,Парикмахерская,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Крылатские Холмы, дом 32, корпус 2",район Крылатское,Западный административный округ,37.412084283457446,55.76535109320275,1892299.6774664181,6409879.9028117815
672,672,1254,1254,Redken Color Factory,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Крымский Вал, дом 4",район Якиманка,Центральный административный округ,37.610893743559785,55.73064497107608,1905672.482387995,6410280.170518032
673,673,1258,1258,ЭКОНОМ ПАРИКМАХЕРСКАЯ,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Кубинка, дом 15, корпус 2",Можайский район,Западный административный округ,37.404550999999906,55.72386,1893366.6963886656,6405248.530501133
674,674,1259,1259,Наша парикмахерская,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Кулакова, дом 1, корпус 1",район Строгино,Северо-Западный административный округ,37.401935,55.815745,1889829.627224053,6415104.43485915
675,675,1260,1260,ПАРИКМАХЕРСКАЯ,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Кулакова, дом 2, корпус 1",район Строгино,Северо-Западный административный округ,37.40075405543671,55.816291358235105,1889737.8264988959,6415138.901824541
676,676,1261,1261,Ваша парикмахерская,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Кулакова, дом 2, корпус 1",район Строгино,Северо-Западный административный округ,37.4004841710997,55.815969131812196,1889733.2889807161,6415098.563733366
677,677,1265,1265,ПАРИКМАХЕРСКАЯ,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Кулакова, дом 27",район Строгино,Северо-Западный административный округ,37.3922798154336,55.801477797961,1889767.7875335368,6413365.8616689015
678,678,1266,1266,Салон Апельсин,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Кунцевская улица, дом 1",район Кунцево,Западный административный округ,37.42330701389881,55.73011301633946,1894278.4737669346,6406312.15239015
679,679,1267,1267,Салон,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Кунцевская улица, дом 2",район Кунцево,Западный административный округ,37.423011602399605,55.7311451215218,1894222.5296636096,6406417.339993033
680,680,1268,1268,Салон,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Кунцевская улица, дом 4, корпус 1",район Кунцево,Западный административный округ,37.41866490277479,55.7317560417422,1893935.514710736,6406393.02019834
681,681,1270,1270,Салон,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Кунцевская улица, дом 10",район Кунцево,Западный административный округ,37.4134020164058,55.731743067056094,1893615.6842729263,6406282.41907753
682,682,1271,1271,Салон,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Кунцевская улица, дом 10",район Кунцево,Западный административный округ,37.4124694478408,55.731573006648,1893565.1785495938,6406244.728925155
683,683,1274,1274,Салон красоты,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Кустанайская улица, дом 4, корпус 1",район Зябликово,Южный административный округ,37.751257827581234,55.62020599413008,1918330.5183067282,6401327.6731960215
