,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
95,1673,1673,РЕСТАВРАЦИЯ ОДЕЖДЫ И ОБУВИ,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, проспект Мира, дом 131, корпус 2",район Ростокино,Северо-Восточный административный округ,37.65150221965517,55.83211191011191,1904368.6706352124,6422065.945366375
96,1702,1702,РЕМОНТ ОБУВИ,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Мичуринский проспект, дом 54, корпус 2",район Раменки,Западный административный округ,37.4894567953168,55.694202922860704,1899628.8714732332,6403814.820008231
97,1715,1715,МЕЛОЧИ ЖИЗНИ,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Можайское шоссе, дом 39",Можайский район,Западный административный округ,37.414958,55.717382,1894238.407097163,6404765.704974308
98,1726,1726,Мастерская,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Молодогвардейская улица, дом 25, корпус 1",район Кунцево,Западный административный округ,37.4195077771358,55.7334454603428,1893924.6790312824,6406592.727977624
99,1727,1727,Мастерская по ремонту обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Молодогвардейская улица, дом 31, корпус 1",район Кунцево,Западный административный округ,37.4165714232506,55.733130917052094,1893757.5443766064,6406497.87036544
100,1730,1730,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, улица Молостовых, дом 17, корпус 1",район Ивановское,Восточный административный округ,37.832559608084196,55.7528015471611,1918320.3035767544,6417331.57860524
101,1769,1769,Ремонтная мастерская,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Нагатинская улица, дом 13, корпус 1",район Нагатино-Садовники,Южный административный округ,37.64058001268669,55.68003813375906,1909357.9522582572,6405447.259059887
102,1770,1770,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Нагатинская улица, дом 20",район Нагатино-Садовники,Южный административный округ,37.653232564940886,55.67788671291396,1910208.5109239246,6405480.92233248
103,1782,1782,Мастерская по ремонту обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Нагорная улица, дом 28, корпус 1",район Котловка,Юго-Западный административный округ,37.5981143935716,55.675980248705905,1906921.721693648,6404119.576327153
104,1791,1791,РЕМОНТ ОБУВИ,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, улица Народного Ополчения, дом 22, корпус 1",район Хорошёво-Мнёвники,Северо-Западный административный округ,37.4800356814624,55.779256957034804,1895917.958101185,6412790.4779268885
