,ParkingName,CarCapacity,Address,District,AdmArea,Latitude_WGS84,Longitude_WGS84,Xs,Ys
6525,Парковка №4042 (71),6,"город Москва, Нижняя Первомайская улица, дом 7",район Измайлово,Восточный административный округ,55.7909783995872,37.7931222377866,1914495.5257107045,6420610.905956319
6526,Парковка №4042 (72),8,"город Москва, 8-я Парковая улица, дом 9",район Измайлово,Восточный административный округ,55.791038711739,37.7964025936183,1914692.3450963227,6420686.598526967
6527,Парковка №4042 (73),7,"город Москва, Нижняя Первомайская улица, дом 19А",район Измайлово,Восточный административный округ,55.7910643708447,37.7980199386392,1914789.5364827868,6420723.482553042
6528,Парковка №4042 (74),4,"город Москва, 9-я Парковая улица, дом 9А",район Измайлово,Восточный административный округ,55.7910960513271,37.798835327855,1914837.8336385617,6420744.097709336
6529,Парковка №4043 (22),6,"город Москва, Нижняя Первомайская улица, дом 23",район Восточное Измайлово,Восточный административный округ,55.7911231399019,37.8000986407686,1914913.4854926234,6420773.669600826
6530,Парковка №4043 (23),3,"город Москва, Нижняя Первомайская улица, дом 25",район Восточное Измайлово,Восточный административный округ,55.7911503340553,37.8014129256525,1914992.2262627135,6420804.32990759
6531,Парковка №4043 (24),13,"город Москва, Нижняя Первомайская улица, дом 29",район Восточное Измайлово,Восточный административный округ,55.7911752298483,37.8025957914067,1915063.077362388,6420831.971135744
6532,Парковка №4043 (25),3,"город Москва, Нижняя Первомайская улица, дом 24",район Восточное Измайлово,Восточный административный округ,55.7910447679464,37.8010132814047,1914971.926863921,6420784.526501846
6533,Парковка №4043 (26),3,"город Москва, Нижняя Первомайская улица, дом 24",район Восточное Измайлово,Восточный административный округ,55.7910598723388,37.8017884798243,1915018.4051887086,6420802.510471274
6534,Парковка №4043 (27),2,"город Москва, Нижняя Первомайская улица, дом 24",район Восточное Измайлово,Восточный административный округ,55.7910884630707,37.8028988760461,1915084.7200904647,6420829.020905364
6535,Парковка №4043 (28),5,"город Москва, Нижняя Первомайская улица, дом 33",район Восточное Измайлово,Восточный административный округ,55.791202427094,37.8038644728345,1915139.049669855,6420861.67253025
6536,Парковка №4043 (29),2,"город Москва, 11-я Парковая улица, дом 7",район Восточное Измайлово,Восточный административный округ,55.7911850109848,37.8053745773216,1915231.3435242432,6420891.665108566
6537,Парковка №4043 (30),11,"город Москва, Нижняя Первомайская улица, дом 44",район Восточное Измайлово,Восточный административный округ,55.7912226938209,37.8076249437914,1915366.4957588958,6420943.218642367
6538,Парковка №4043 (31),4,"город Москва, Нижняя Первомайская улица, дом 46",район Восточное Измайлово,Восточный административный округ,55.7912347151238,37.8087702409314,1915435.5475124943,6420968.687175827
6539,Парковка №4043 (32),6,"город Москва, Нижняя Первомайская улица, дом 48/9",район Восточное Измайлово,Восточный административный округ,55.7912407845559,37.8098484925343,1915500.7533361611,6420992.1006551385
6540,Парковка №4044 (84),14,"город Москва, 1-я Владимирская улица, дом 18, корпус 1",район Перово,Восточный административный округ,55.7555349699557,37.7761475182589,1914790.9825977187,6416434.829027712
6541,Парковка №4044 (85),6,"город Москва, 1-я Владимирская улица, дом 29, корпус 1",район Перово,Восточный административный округ,55.7528943233165,37.7782588870441,1915018.008832522,6416194.879223729
6542,Парковка №4044 (86),9,"город Москва, 1-я Владимирская улица, дом 24, корпус 1",район Перово,Восточный административный округ,55.752488731732,37.7780949607763,1915023.2175640739,6416147.727212746
6543,Парковка №4044 (87),6,"город Москва, 1-я Владимирская улица, дом 31",район Перово,Восточный административный округ,55.7522688095517,37.7786222420067,1915063.478285425,6416135.15604469
6544,Парковка №4044 (88),1,"город Москва, 1-я Владимирская улица, дом 33, корпус 1",район Перово,Восточный административный округ,55.7515621124734,37.7790588280079,1915116.4339175902,6416068.231747974
6545,Парковка №4044 (89),8,"город Москва, 1-я Владимирская улица, дом 26, корпус 2",район Перово,Восточный административный округ,55.7513911926838,37.7787762971453,1915105.659987546,6416043.859206885
6546,Парковка №4044 (90),24,"город Москва, 1-я Владимирская улица, дом 43",район Перово,Восточный административный округ,55.7489220204935,37.7806902517202,1915314.299364705,6415818.225895508
6547,Парковка №4044 (91),17,"город Москва, 1-я Владимирская улица, дом 34, корпус 3",район Перово,Восточный административный округ,55.7485597509631,37.7805104708613,1915316.9245319802,6415775.405867666
6548,Парковка №4044 (92),10,"город Москва, Братская улица, дом 1/45",район Перово,Восточный административный округ,55.7475478726958,37.7815308961224,1915416.775018763,6415687.921921846
6549,Парковка №4044 (93),12,"город Москва, Перовская улица, дом 39, корпус 3",район Перово,Восточный административный округ,55.7473789253311,37.781235766335,1915405.1604190778,6415663.494989708
