,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
52060,52060,TRUVOR ДИСКОНТ,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Орджоникидзе, дом 11",Донской район,Южный административный округ,37.59556799999999,55.70915974384136,1905536.8014332082,6407643.267926934
52061,52061,Магазин Женская одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Вавилова, дом 3",Донской район,Южный административный округ,37.592178,55.70698574321287,1905411.0425807592,6407337.951870162
52062,52062,Магазин Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Вавилова, дом 3",Донской район,Южный административный округ,37.592178,55.70698574321287,1905411.0425807592,6407337.951870162
52064,52064,Блеск,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Старопетровский проезд, дом 1, строение 2",Войковский район,Северный административный округ,37.500343,55.82377577714917,1895507.413976829,6418012.666605251
52066,52066,Магазин LUHTA,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Вавилова, дом 3",Донской район,Южный административный округ,37.592178,55.70698574321287,1905411.0425807592,6407337.951870162
52068,52068,Женская одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Вавилова, дом 3",Донской район,Южный административный округ,37.592178,55.70698574321287,1905411.0425807592,6407337.951870162
52069,52069,ФЭШН РИТЕИЛ ГРУП,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Вавилова, дом 3",Донской район,Южный административный округ,37.592178,55.70698574321287,1905411.0425807592,6407337.951870162
52070,52070,Магазин Шалуны,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Вавилова, дом 3",Донской район,Южный административный округ,37.592178,55.70698574321287,1905411.0425807592,6407337.951870162
52071,52071,SILONA,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Ленинская Слобода, дом 26, строение 2",Даниловский район,Южный административный округ,37.657674,55.712390744775675,1909196.4568354741,6409293.2520062635
52073,52073,Магазин женская одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Вавилова, дом 3",Донской район,Южный административный округ,37.592178,55.70698574321287,1905411.0425807592,6407337.951870162
52141,52141,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
52142,52142,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
52159,52159,Мужская одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, проспект Вернадского, дом 41, строение 3",район Проспект Вернадского,Западный административный округ,37.50343199999999,55.67448673383194,1901207.7227054809,6401979.8372426415
52160,52160,Одежда сток,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, проспект Вернадского, дом 41, строение 3",район Проспект Вернадского,Западный административный округ,37.50343199999999,55.67448673383194,1901207.7227054809,6401979.8372426415
52161,52161,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
52162,52162,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
52323,52323,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Кастанаевская улица, дом 54, корпус 3",район Фили-Давыдково,Западный административный округ,37.467871,55.73562175150129,1896787.526229197,6407832.188540887
52337,52337,Chetrico Чебоксарский трикотаж,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Новоясеневский проспект, дом 11",район Ясенево,Юго-Западный административный округ,37.53618899999999,55.60651271429906,1905715.2154115697,6395333.022251842
52338,52338,FANT,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Ленинская Слобода, дом 26, строение 2",Даниловский район,Южный административный округ,37.657674,55.712390744775675,1909196.4568354741,6409293.2520062635
52339,52339,Константин,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, поселение Московский, Киевское шоссе, 22-й километр, домовладение 4, строение 2",поселение Московский,Новомосковский административный округ,37.43602399999999,55.63176772154237,1898670.4016089016,6395968.20841421
52340,52340,Магазин «ROYAL KIDS»,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Варшавское шоссе, дом 95, корпус 1",район Чертаново Северное,Южный административный округ,37.62182900000003,55.640215723969,1909693.182196309,6400760.8158970475
52409,52409,Ивановский трикотаж,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Новоясеневский проспект, дом 24",район Ясенево,Юго-Западный административный округ,37.52976200000001,55.60595071413807,1905343.5768357487,6395138.05837402
52440,52440,Балкан,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Плещеева, дом 4, корпус 1",район Бибирево,Северо-Восточный административный округ,37.60547900000001,55.88308679451787,1899684.1810719648,6426596.3446373325
