,level_0,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
2650,3086,57752,57752,Промтовары,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Новочеркасский бульвар, дом 57, корпус 1",район Марьино,Юго-Восточный административный округ,37.741878,55.647883726173156,1916726.242384388,6404112.629970755
2651,3088,57754,57754,Пром и Хоз товары,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Новочеркасский бульвар, дом 57, корпус 1",район Марьино,Юго-Восточный административный округ,37.741878,55.647883726173156,1916726.242384388,6404112.629970755
2652,3089,57764,57764,Окна Аттик,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Волгоградский проспект, дом 117, корпус 1",район Кузьминки,Юго-Восточный административный округ,37.762991,55.70630274301544,1915831.2097853955,6410853.116457603
2653,3090,57765,57765,Babyland,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Хорошёвское шоссе, дом 27",Хорошёвский район,Северный административный округ,37.52360999999999,55.77711176354763,1898645.0278951554,6413466.245260318
2654,3091,57770,57770,Чехлы,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Зеленодольская улица, дом 40",район Кузьминки,Юго-Восточный административный округ,37.765755,55.704110742381886,1916081.260316225,6410675.238194963
2655,3092,57806,57806,Lovely ДОМ,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Хорошёвское шоссе, дом 27",Хорошёвский район,Северный административный округ,37.52360999999999,55.77711176354763,1898645.0278951554,6413466.245260318
2656,3093,57807,57807,GamePark,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Хорошёвское шоссе, дом 27",Хорошёвский район,Северный административный округ,37.52360999999999,55.77711176354763,1898645.0278951554,6413466.245260318
2657,3094,57812,57812,Japancosmetica,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Ленинградский проспект, дом 37Б",Хорошёвский район,Северный административный округ,37.544519,55.79025476737286,1899429.076039659,6415318.997254161
2658,3095,57832,57832,Jo Malone,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Ходынский бульвар, дом 4",Хорошёвский район,Северный административный округ,37.52774800000001,55.790177767350436,1898413.2725086256,6414961.099945517
2659,3096,57833,57833,Крымская Косметика,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Сокольническая площадь, дом 4А",район Сокольники,Восточный административный округ,37.67858200000001,55.79003076730764,1907578.3133053347,6418099.173359358
2660,3097,57834,57834,Laprimera,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Ходынский бульвар, дом 4",Хорошёвский район,Северный административный округ,37.52774800000001,55.790177767350436,1898413.2725086256,6414961.099945517
2661,3098,57836,57836,Herbarium,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Ходынский бульвар, дом 4",Хорошёвский район,Северный административный округ,37.52774800000001,55.790177767350436,1898413.2725086256,6414961.099945517
2662,3101,57900,57900,Все для волос,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, улица Вавилова, дом 3",Донской район,Южный административный округ,37.592178,55.70698574321287,1905411.0425807592,6407337.951870162
2663,3106,58206,58206,Best watch,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Манежная площадь, дом 1, строение 2",Тверской район,Центральный административный округ,37.615035999999996,55.75546775725792,1905003.1219108328,6413042.523144838
2664,3107,58223,58223,Хозтовары,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Шоссейная улица, дом 11",район Печатники,Юго-Восточный административный округ,37.72670399999999,55.68844173785675,1914289.4719366669,6408163.623990081
2665,3108,58255,58255,Табак,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, улица Генерала Кузнецова, дом 28, корпус 1",район Выхино-Жулебино,Юго-Восточный административный округ,37.851946999999996,55.682963736276214,1922117.7106404125,6410219.155214999
2666,3110,58336,58336,Парфюмерния,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Шоссейная улица, дом 11",район Печатники,Юго-Восточный административный округ,37.72670399999999,55.68844173785675,1914289.4719366669,6408163.623990081
