,level_0,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
367,2566,55244,55244,Сластена,Прочие специализированные продовольственные предприятия торговли,Сластена,да,реализация продовольственных товаров,"город Москва, Саянская улица, дом 9Б",район Ивановское,Восточный административный округ,37.832623999999996,55.769771761413296,1917687.9311852038,6419160.795045239
368,2567,55410,55410,Кофейная кантата,Прочие специализированные продовольственные предприятия торговли,Кофейная кантата,да,реализация продовольственных товаров,"город Москва, улица Мичуринский Проспект, Олимпийская Деревня, дом 3, корпус 1",район Тропарёво-Никулино,Западный административный округ,37.46713799999999,55.67791773482104,1898869.344885709,6401593.691881685
369,2593,55932,55932,КРАСНОЕ и БЕЛОЕ,Прочие специализированные продовольственные предприятия торговли,Красное и Белое,да,реализация продовольственных товаров,"город Москва, 2-й Верхний Михайловский проезд, дом 6",Донской район,Южный административный округ,37.602347,55.70971874400299,1905928.678700793,6407845.435686547
370,2594,56012,56012,Магазин «5lb спортивное питание»,Прочие специализированные продовольственные предприятия торговли,5lb,да,реализация продовольственных товаров,"город Москва, Каширское шоссе, дом 26",район Москворечье-Сабурово,Южный административный округ,37.646171,55.653313727734925,1910691.0768325184,6402683.764349522
371,2595,56014,56014,Лит.ра,Прочие специализированные продовольственные предприятия торговли,Лит.ра,да,реализация продовольственных товаров,"город Москва, Рождественская улица, дом 31",район Некрасовка,Юго-Восточный административный округ,37.93178200000001,55.705905742900676,1926112.4274300209,6414384.337950444
372,2596,56023,56023,Подворье,Прочие специализированные продовольственные предприятия торговли,Подворье,да,реализация продовольственных товаров,"город Москва, улица Декабристов, дом 15Б",район Отрадное,Северо-Восточный административный округ,37.604031,55.86495778919935,1900269.8480460262,6424612.543743783
373,2644,56937,56937,Сухофрукты и Fresh Bar Добрынинский и партнёры,Прочие специализированные продовольственные предприятия торговли,Добрынинский и партнёры,да,реализация продовольственных товаров,"город Москва, улица Ленинская Слобода, дом 19",Даниловский район,Южный административный округ,37.653925,55.70875274372371,1909103.5612984302,6408822.454280263
374,2645,56946,56946,У Палыча,Прочие специализированные продовольственные предприятия торговли,У Палыча,да,реализация продовольственных товаров,"город Москва, Новочеркасский бульвар, дом 57, корпус 1",район Марьино,Юго-Восточный административный округ,37.741878,55.647883726173156,1916726.242384388,6404112.629970755
375,2651,57247,57247,МясновЪ,Прочие специализированные продовольственные предприятия торговли,Мясновъ,да,реализация продовольственных товаров,"город Москва, улица Декабристов, дом 8",район Отрадное,Северо-Восточный административный округ,37.59740800000001,55.86486678917268,1899871.8807136884,6424464.43606237
376,2652,57248,57248,Отдохни,Прочие специализированные продовольственные предприятия торговли,Отдохни,да,реализация продовольственных товаров,"город Москва, улица Декабристов, дом 8",район Отрадное,Северо-Восточный административный округ,37.59740800000001,55.86486678917268,1899871.8807136884,6424464.43606237
