,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
2314,17172,17172,Продукты,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Шоссейная улица, дом 52, корпус 2",район Печатники,Юго-Восточный административный округ,37.72024504331261,55.67883493439221,1914254.3597144303,6406992.28833649
2315,17419,17419,Продукты,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Новоясеневский проспект, дом 25/20",район Ясенево,Юго-Западный административный округ,37.55539274578987,55.60250727856284,1907035.6786945453,6395302.73568357
2316,17656,17656,Магазин «Продукты»,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Ленинский проспект, дом 123, корпус 2",район Тёплый Стан,Юго-Западный административный округ,37.48453492669998,55.64543647905261,1901126.946744505,6398452.773119452
2317,17658,17658,Магазин «Деревенский уголок»,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Ленинский проспект, дом 131А",район Тёплый Стан,Юго-Западный административный округ,37.480890671947286,55.64261784856227,1901008.5323864957,6398072.802832379
2318,17664,17664,Продукты,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Литовский бульвар, дом 3, корпус 2, строение 2",район Ясенево,Юго-Западный административный округ,37.5350275264805,55.616596004439494,1905271.901535788,6396396.212910341
2319,17673,17673,Продукты,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Симферопольский бульвар, дом 12, корпус 1",район Зюзино,Юго-Западный административный округ,37.604928432770116,55.656913800466214,1908043.6639783676,6402206.725309008
2320,17682,17682,Продукты,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, улица Новаторов, владение 40, корпус 16, строение 1",Обручевский район,Юго-Западный административный округ,37.51871108394567,55.663391222710025,1902548.5529505184,6401102.022008413
2321,17780,17780,Магазин «Продукты»,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Профсоюзная улица, дом 126, корпус 1",район Тёплый Стан,Юго-Западный административный округ,37.518582406615366,55.632605945267656,1903677.2243466119,6397779.287474972
2322,17790,17790,Магазин «Продукты»,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Профсоюзная улица, дом 126, корпус 1",район Тёплый Стан,Юго-Западный административный округ,37.518582406615366,55.632605945267656,1903677.2243466119,6397779.287474972
2323,17808,17808,Продукты,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Болотниковская улица, дом 53, корпус 2",район Зюзино,Юго-Западный административный округ,37.579161902852185,55.66353244718551,1906227.9851591808,6402380.699449125
2324,17809,17809,Продукты,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Ленинский проспект, владение 88, корпус 2, строение 1",Ломоносовский район,Юго-Западный административный округ,37.522343344290846,55.67695208878247,1902269.1433061825,6402640.221608533
2325,17845,17845,ВЛАСТЕЛИН,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Новочерёмушкинская улица, дом 44, корпус 1, строение 1",район Черёмушки,Юго-Западный административный округ,37.568605,55.672641733300196,1905247.4278553238,6403141.996184592
2326,17854,17854,ЭКОЯРМАРКА,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Профсоюзная улица, дом 56",Обручевский район,Юго-Западный административный округ,37.55243692580906,55.67010626687952,1904355.9960722702,6402530.551065585
2327,17855,17855,Интерпит и Ко,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Профсоюзная улица, дом 56",Обручевский район,Юго-Западный административный округ,37.55243692580906,55.67010626687952,1904355.9960722702,6402530.551065585
2328,18078,18078,Чайное дерево,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Профсоюзная улица, дом 56",Обручевский район,Юго-Западный административный округ,37.552200036195,55.669789264547994,1904353.2833818172,6402491.417838806
2329,18095,18095,ПРОДУКТЫ 27,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, улица Миклухо-Маклая, дом 21, корпус 3, строение 1",Обручевский район,Юго-Западный административный округ,37.50807353687885,55.65131793953726,1902345.6290482157,6399577.99568274
2330,18096,18096,ПРОДУКТЫ 21,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, улица Миклухо-Маклая, дом 21, корпус 3, строение 1",Обручевский район,Юго-Западный административный округ,37.50807353687885,55.65131793953726,1902345.6290482157,6399577.99568274
2331,18676,18676,ПРОДУКТЫ 29,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, улица Миклухо-Маклая, дом 5, строение 1",Обручевский район,Юго-Западный административный округ,37.50026904675562,55.65545916073184,1901716.9324830289,6399861.814912737
2332,18743,18743,Молоко,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, улица Введенского, дом 13К",район Коньково,Юго-Западный административный округ,37.541180920559775,55.641851919968616,1904714.2821698482,6399248.515417057
2333,18745,18745,Шаурма,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, улица Введенского, дом 13К",район Коньково,Юго-Западный административный округ,37.54164,55.641718999999995,1904747.19400648,6399243.776400932
2334,18780,18780,Продукты,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, бульвар Адмирала Ушакова, дом 12",район Южное Бутово,Юго-Западный административный округ,37.550121894612715,55.548027408370245,1908726.650137161,6389316.617531049
2335,18782,18782,Продукты,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Ратная улица, дом 10А",район Северное Бутово,Юго-Западный административный округ,37.577092,55.57439099999989,1909400.6955509975,6392724.984373279
2336,18784,18784,ТЕР-АВАКОВ,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Куликовская улица, владение 2, строение 1",район Северное Бутово,Юго-Западный административный округ,37.569641272801455,55.57766055940676,1908824.5482403368,6392921.472713
2337,18797,18797,Колбасы,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Старокачаловская улица, дом 5",район Северное Бутово,Юго-Западный административный округ,37.58061350252935,55.570046708507,1909776.580487844,6392330.287685201
2338,18817,18817,Продукты,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Старокачаловская улица, дом 5",район Северное Бутово,Юго-Западный административный округ,37.58061350252935,55.570046708507,1909776.580487844,6392330.287685201
2339,18869,18869,Продукты,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Венёвская улица, дом 4",район Южное Бутово,Юго-Западный административный округ,37.542931,55.548714000000004,1908261.572600411,6389240.120676834
2340,18870,18870,Сухофрукты,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Венёвская улица, дом 4",район Южное Бутово,Юго-Западный административный округ,37.542931,55.548714000000004,1908261.572600411,6389240.120676834
2341,18908,18908,Продукты,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, бульвар Адмирала Ушакова, дом 18Б",район Южное Бутово,Юго-Западный административный округ,37.54811000000001,55.54728469737661,1908631.0530430675,6389194.380418583
